cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
88.86,4.719,167,3,5,4,Android,2000,100,4.584956272,10.39505506,5.991423772,2.519291483,1.055207727,3.641244757,0.199753026,0.39693702,96.53436089,20.71801151
88.86,4.719,167,11,5,4,Android,2000,100,4.780256735,12.18460681,5.895900903,2.107775223,1.309827998,4.749862373,0.211685965,0.474433913,101.5934267,19.68631303
88.86,4.719,167,14,5,4,Android,2000,100,5.077245018,11.16629686,5.715383669,1.465183036,1.926551216,8.737644911,0.236709407,0.682508598,108.0224974,18.51466174
88.86,4.719,167,12,2,2,Android,2000,100,4.682090426,11.08107266,6.076398527,2.165261059,1.070896196,4.051867557,0.201531677,0.461838096,98.8680141,20.22898931
88.86,4.719,167,2,3,0,Android,2000,100,4.379907746,10.22497134,6.3412079,3.205754412,0.600825553,1.747385323,0.180048276,0.311940408,92.35428762,21.65573523
88.86,4.719,167,6,4,2,Android,2000,100,4.603042058,10.85270327,6.040632706,2.284481681,1.100872202,3.976005542,0.200608995,0.437736307,97.19859266,20.57642961
88.86,4.719,167,11,3,4,Android,2000,100,4.999008286,11.59070582,5.740547392,1.661785603,1.668451442,7.324021411,0.229950376,0.601762344,105.2239938,19.00707175
88.86,4.719,167,12,0,1,Android,2000,100,6.070334895,11.37432849,4.010069407,1.993097355,2.495959737,3.911392891,0.295267706,0.501731643,126.9731648,15.75135977
88.86,4.719,167,4,6,3,Android,2000,100,4.550967498,10.61452446,6.008783955,2.92457094,0.896142169,3.836225188,0.192526284,0.341930571,96.17702961,20.79498616
88.86,4.719,167,4,3,4,Android,2000,100,4.604975054,10.71539432,5.978513599,2.445231442,1.159231258,4.213783288,0.203291795,0.408961439,97.13863897,20.58912932
88.86,4.719,167,9,4,3,Android,2000,100,4.773827588,12.20339549,5.863862698,2.233094159,1.283569558,4.866689324,0.211287616,0.447809319,100.2786725,19.94442039
88.86,4.719,167,13,1,2,Android,2000,100,5.084834658,12.07567003,5.448824118,2.605523592,0.916246759,2.531339574,0.212587779,0.383800025,106.6770709,18.74817132
88.86,4.719,167,8,5,3,Android,2000,100,4.633852115,11.44956348,6.083810992,2.229990864,1.211095782,4.314127254,0.204452764,0.448433419,98.06911373,20.39378071
88.86,4.719,167,9,6,4,Android,2000,100,4.881717781,10.87283164,5.811185236,1.890496046,1.450589585,6.411041284,0.221954119,0.528962207,102.6795759,19.47807032
88.86,4.719,167,10,0,0,Android,2000,100,6.102889632,11.53096119,3.99278233,1.978500198,2.507781629,3.841698205,0.296814942,0.505433359,127.6270273,15.67066195
88.86,4.719,167,0,1,0,Android,2000,100,4.701269395,10.9144278,5.733244362,3.273103642,0.538575516,1.307526791,0.191544672,0.305520473,98.72372818,20.25855422
88.86,4.719,167,7,1,3,Android,2000,100,4.911233819,11.53168095,5.570122306,2.666718262,1.011357205,4.242238986,0.209065101,0.374995171,103.0573871,19.40666318
88.86,4.719,167,10,6,3,Android,2000,100,4.595991145,10.65253414,5.986985877,2.56548359,1.030013968,4.106788754,0.19777746,0.389790121,97.11498594,20.59414395
88.86,4.719,167,0,0,2,Android,2000,100,5.876624505,11.23342564,4.065012613,2.127896505,2.298652078,3.189510465,0.284835462,0.469947745,123.0400841,16.25486535
88.86,4.719,167,9,2,0,Android,2000,100,4.491157339,10.78283778,6.247943212,2.983479642,0.672273328,1.758505583,0.185441178,0.335179158,94.60923505,21.13958536
88.86,4.719,167,2,2,2,Android,2000,100,4.415084967,9.9172629,6.165241248,3.042605126,0.750518461,2.013472605,0.184705884,0.328665857,92.99365473,21.50684373
88.86,4.719,167,14,5,0,Android,2000,100,4.557502141,10.81946069,6.194296036,2.852090349,0.677444968,1.793324411,0.188150739,0.350620029,95.77932668,20.88133284
88.86,4.719,167,8,0,4,Android,2000,100,6.139217014,11.42755375,4.022185573,1.872172341,2.649650136,6.047370875,0.303202355,0.534138867,128.3118877,15.58702031
88.86,4.719,167,2,0,3,Android,2000,100,5.971437873,11.25191784,4.03315732,2.107135177,2.382445953,3.217999756,0.289510158,0.474578101,124.981874,16.00232047
88.86,4.719,167,0,6,1,Android,2000,100,4.332901819,10.25705725,6.236147637,3.21190129,0.597673246,1.408385491,0.180000346,0.311342097,91.53801036,21.84884719
88.86,4.719,167,13,6,1,Android,2000,100,4.601790499,11.34650831,6.164314251,2.658288676,0.968128896,2.867141664,0.195720634,0.376181912,96.84067345,20.65247926
88.86,4.719,167,11,2,0,Android,2000,100,4.633649943,11.40903095,6.193394175,2.940361771,0.764304853,1.79399364,0.192094355,0.340094352,97.45598483,20.52208495
88.86,4.719,167,7,1,3,Android,2000,100,4.97376827,11.75325459,5.595566231,2.338743244,1.104533469,4.849966121,0.217324001,0.427581203,104.296737,19.17605534
88.86,4.719,167,4,4,4,Android,2000,100,4.667893811,10.92756058,5.904035952,2.295931838,1.186769771,4.112948287,0.205362459,0.435553181,98.93324065,20.21565236
88.86,4.719,167,6,2,2,Android,2000,100,4.583000462,10.50600535,6.034426258,2.4751458,1.018570161,3.301112509,0.195960419,0.404016604,96.20610619,20.78870125
88.86,4.719,167,3,5,1,Android,2000,100,4.37318072,10.06845567,6.277168879,3.038386732,0.719913907,1.992886233,0.181738016,0.329122028,92.0995357,21.71563607
88.86,4.719,167,14,4,3,Android,2000,100,5.232005312,11.04364362,5.525896279,1.506704528,1.858920071,8.113391376,0.244050016,0.66370025,110.2106061,18.14707378
88.86,4.719,167,8,2,1,Android,2000,100,4.584699986,10.34321377,6.12709493,2.610844455,0.963820389,3.363412178,0.195424859,0.383017843,96.45977402,20.73403157
88.86,4.719,167,1,3,3,Android,2000,100,4.446943911,10.04460382,6.119311411,2.911619581,0.818975351,2.620855081,0.18815877,0.343452179,94.34933448,21.19781778
88.86,4.719,167,5,4,1,Android,2000,100,4.375768062,10.40022337,6.29662901,2.933673519,0.797358346,2.253336453,0.185407613,0.340869692,92.56456971,21.60653916
88.86,4.719,167,0,3,1,Android,2000,100,4.334280999,10.17672414,6.268864348,3.301049205,0.590363733,1.554079449,0.178550326,0.302934,91.44943142,21.87001022
88.86,4.719,167,14,0,0,Android,2000,100,6.07345225,11.46752281,4.025547688,1.974901399,2.496853043,4.180782044,0.295975438,0.506354394,127.0698662,15.73937284
88.86,4.719,167,2,1,4,Android,2000,100,4.785393855,10.75640559,5.662312191,2.776254711,0.936366443,3.141424358,0.202611385,0.360197499,100.6229589,19.87617957
88.86,4.719,167,9,0,3,Android,2000,100,6.054695507,11.54098967,4.043654313,2.007850986,2.540362344,5.603591239,0.296330928,0.498045009,126.6047382,15.79719707
88.86,4.719,167,7,3,2,Android,2000,100,4.670394361,10.46896346,5.97643575,2.304565629,1.103953069,4.790368545,0.202556296,0.433921252,98.22172165,20.36209472
88.86,4.719,167,4,1,2,Android,2000,100,4.867974686,11.17404689,5.594112366,2.786637988,0.782160035,2.175394523,0.201836518,0.358855389,102.0343752,19.60123729
88.86,4.719,167,12,3,2,Android,2000,100,4.780472926,10.5561147,5.848701113,2.406167555,1.197862806,4.581725228,0.207293357,0.41559871,100.1827745,19.96351178
