cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
98.95,2.276,7,6,3,3,Apache,2000,100,2.218488317,3.322904265,6.577543829,3.706471448,0.838933002,1.82955575,0.169205032,0.27198703,45.27805257,44.17151106
98.95,2.276,7,0,6,2,Apache,2000,100,2.130287648,3.01005367,6.416505863,4.098722506,0.604885098,1.209390485,0.162120911,0.243979401,43.47880316,45.99942627
98.95,2.276,7,10,4,0,Apache,2000,100,2.159428811,2.962165093,6.998148674,4.447891349,0.740014475,1.435220611,0.164788587,0.234445796,44.13265252,45.31791963
98.95,2.276,7,2,4,1,Apache,2000,100,2.021926113,3.241820014,6.903077407,3.538380891,0.613167691,1.581132698,0.15408978,0.282621115,41.09076953,48.67273168
98.95,2.276,7,4,1,1,Apache,2000,100,2.182559688,2.998107493,6.483622672,4.22176079,0.619115904,1.180298305,0.166135043,0.239352369,44.36660457,45.07895115
98.95,2.276,7,13,5,0,Apache,2000,100,2.223096974,3.184349287,7.062696364,4.188762076,0.832326187,1.408791864,0.169519713,0.251644952,45.12710166,44.31926551
98.95,2.276,7,10,0,1,Apache,2000,100,2.89338048,3.554994977,4.867417974,3.378895819,1.318479636,1.752616978,0.221331561,0.299758173,58.7787106,34.02592502
98.95,2.276,7,7,1,1,Apache,2000,100,2.242141209,3.576803505,6.491776126,3.394021796,0.708360065,1.624243617,0.170861651,0.297570871,45.50311613,43.95303377
98.95,2.276,7,0,6,1,Apache,2000,100,2.078885496,2.896900892,6.556742965,4.538984161,0.56037116,0.884844625,0.158663236,0.220424093,42.21997166,47.37094606
98.95,2.276,7,10,4,3,Apache,2000,100,2.284078079,3.33278923,6.606435746,3.838923829,0.929663947,1.843401206,0.174311451,0.267451976,46.68140531,42.84361165
98.95,2.276,7,5,0,1,Apache,2000,100,2.803840526,3.549476326,4.914777526,3.504609374,1.23564131,1.834311581,0.214444731,0.286663283,57.1738019,34.9810566
98.95,2.276,7,13,6,0,Apache,2000,100,2.229846328,3.29574362,7.035848475,3.874413013,0.848321711,1.687816858,0.169966246,0.269252266,45.3118434,44.13857063
98.95,2.276,7,3,3,3,Apache,2000,100,2.109230767,2.916691172,6.720187476,4.405005429,0.70831258,1.364560902,0.160732245,0.227926107,43.00637007,46.50473864
98.95,2.276,7,6,1,2,Apache,2000,100,2.248432189,3.431240582,6.271240481,3.500498236,0.723717045,1.644577396,0.171294433,0.285742328,45.64256072,43.81875093
98.95,2.276,7,5,0,3,Apache,2000,100,2.762608781,3.602934301,4.952235058,3.58375501,1.220282236,1.758715081,0.211347716,0.279226201,56.34565425,35.49519527
98.95,2.276,7,3,4,3,Apache,2000,100,2.095896433,2.774173379,6.741559746,4.391517898,0.710680756,1.300549412,0.159676706,0.228542738,42.83594441,46.68976084
98.95,2.276,7,6,1,3,Apache,2000,100,2.266462921,3.061375749,6.354396498,4.287728085,0.788901203,1.482793093,0.172910675,0.236714785,46.3375299,43.16155834
98.95,2.276,7,11,0,2,Apache,2000,100,2.915466508,3.878013861,4.825359836,3.19204542,1.332372135,2.107924879,0.223112935,0.316737555,59.33936286,33.70444008
98.95,2.276,7,12,4,1,Apache,2000,100,2.270183608,3.360463905,6.792336386,3.585650636,0.850673565,1.679949915,0.173472329,0.288000512,46.19404578,43.29562319
98.95,2.276,7,9,5,0,Apache,2000,100,2.110218171,2.851423609,7.08922532,4.872477478,0.705015229,1.265016794,0.160709165,0.214411213,42.95937562,46.55561146
98.95,2.276,7,12,6,3,Apache,2000,100,2.130046126,2.948648751,6.674703289,4.813910177,0.802772383,1.666476583,0.162422478,0.209745002,43.64062905,45.8288536
98.95,2.276,7,1,5,0,Apache,2000,100,1.983106824,2.82911253,6.94922876,4.722028754,0.522553929,1.042802954,0.150816565,0.212417699,40.11494017,49.85673646
98.95,2.276,7,9,1,4,Apache,2000,100,2.336835651,3.633205092,6.307862662,3.469900032,0.834896929,1.940088546,0.178166718,0.292960469,47.50803542,42.09814155
98.95,2.276,7,9,6,1,Apache,2000,100,2.147646222,3.467637956,6.95335641,3.945564574,0.78715419,1.70090909,0.163406514,0.259846237,43.75109315,45.71314351
98.95,2.276,7,14,0,0,Apache,2000,100,2.885505056,3.535116053,4.876759766,3.509670242,1.314655468,1.788855827,0.220866526,0.28927332,58.7458775,34.04494213
98.95,2.276,7,2,3,2,Apache,2000,100,2.074361291,3.0910797,6.691379208,4.220652298,0.642457453,1.217000556,0.158231912,0.237430602,42.19582677,47.3980522
98.95,2.276,7,12,5,4,Apache,2000,100,2.320020749,3.941281056,6.575106682,3.023952499,1.031059564,2.740489614,0.177779557,0.336554052,47.25354075,42.32487065
98.95,2.276,7,4,1,3,Apache,2000,100,2.251621398,3.423140788,6.321255353,3.589169557,0.739561852,1.654101264,0.171957956,0.279052226,45.72370386,43.7409884
98.95,2.276,7,3,6,4,Apache,2000,100,2.138661434,2.769446731,6.597698571,4.807879539,0.716300957,1.088037884,0.163113606,0.209584279,43.88163567,45.57715248
98.95,2.276,7,1,0,2,Apache,2000,100,2.717625801,3.455164683,4.96887404,3.648475861,1.14531368,1.671203876,0.207743158,0.274087199,55.2696476,36.18622674
98.95,2.276,7,7,2,0,Apache,2000,100,2.09124015,3.051390576,7.03252957,4.190662126,0.659997072,1.269011807,0.159324372,0.244074318,42.2260561,47.36412028
98.95,2.276,7,5,5,2,Apache,2000,100,2.078471174,2.735549319,6.821121522,4.439753469,0.733787986,1.18933233,0.158554087,0.226162653,42.51046753,47.04723604
98.95,2.276,7,13,3,3,Apache,2000,100,2.153950619,3.02039113,6.667031266,3.87522038,0.818851475,1.609012198,0.16457673,0.259285048,43.90211868,45.55588796
98.95,2.276,7,6,2,1,Apache,2000,100,2.128663304,3.462616992,6.828680731,3.549462439,0.74779562,1.655201268,0.162140875,0.283932696,43.06649804,46.43981032
98.95,2.276,7,0,4,2,Apache,2000,100,2.08836152,2.694519067,6.521880453,4.195032698,0.564855417,0.94591682,0.159380869,0.23841237,42.53988552,47.01470104
98.95,2.276,7,3,5,0,Apache,2000,100,1.976550423,3.036638248,7.175006107,4.178527056,0.573832272,1.240580583,0.150072905,0.240938872,40.02897429,49.96380835
98.95,2.276,7,2,3,4,Apache,2000,100,2.075100152,2.990041912,6.676112057,4.284265565,0.647098435,1.459637892,0.158276748,0.23341225,42.44881868,47.11556321
98.95,2.276,7,14,5,4,Apache,2000,100,2.370863958,4.16976614,6.53366926,2.769455526,1.041267864,3.045780408,0.181479468,0.367557928,48.06372929,41.61141946
98.95,2.276,7,10,2,4,Apache,2000,100,2.310867473,3.687314939,6.485638467,3.184029034,1.012373565,1.726395679,0.17703619,0.318603847,46.70611334,42.82094692
98.95,2.276,7,11,6,3,Apache,2000,100,2.256965393,3.347195804,6.720445514,3.772416801,1.03273894,1.809392011,0.172774105,0.273131848,46.11020398,43.37434727
98.95,2.276,7,1,0,4,Apache,2000,100,2.73206626,3.366648197,4.956518562,3.848755593,1.177522624,1.964156413,0.208969696,0.259824256,55.55240226,36.00204345
98.95,2.276,7,8,2,2,Apache,2000,100,2.117779148,3.355142057,6.784116855,3.386134818,0.76813251,1.7090204,0.161580112,0.295551329,43.16102743,46.33809988
98.95,2.276,7,13,2,4,Apache,2000,100,2.137747571,3.918710685,6.69956613,3.100713093,0.839441266,2.75443598,0.163380629,0.322506461,43.81081843,45.65082488
98.95,2.276,7,8,4,4,Apache,2000,100,2.25689351,3.700443137,6.523225265,3.03489891,0.984685763,2.165893698,0.172693232,0.33160112,45.9952426,43.48275794
98.95,2.276,7,0,1,1,Apache,2000,100,2.200385045,3.082103181,6.221486707,3.817779881,0.551890881,1.185550106,0.167506344,0.261934471,44.86281681,44.58034832
98.95,2.276,7,8,2,4,Apache,2000,100,2.305505175,3.792686617,6.398640084,3.14940466,0.951854651,2.399625444,0.176612653,0.319960692,47.03762197,42.51915628
98.95,2.276,7,14,5,1,Apache,2000,100,2.243511225,3.103091192,6.960241576,4.430146437,0.889376592,1.442953134,0.171425949,0.239998418,45.37320256,44.07888108
98.95,2.276,7,2,6,4,Apache,2000,100,2.17045476,3.70677228,6.524371754,3.493333069,0.808784461,2.242186773,0.165634517,0.28625957,44.47931457,44.96472168
98.95,2.276,7,3,6,1,Apache,2000,100,2.038891503,2.943725204,6.894819458,4.258935767,0.661656603,1.298350203,0.15542867,0.235883883,41.61210465,48.06293785
98.95,2.276,7,7,6,4,Apache,2000,100,2.176339819,2.917800689,6.746164344,4.372259163,0.827209138,1.305807841,0.166149862,0.233830134,44.59788489,44.84517606
98.95,2.276,7,4,3,2,Apache,2000,100,2.10967327,3.309136844,6.697970306,3.465316389,0.677294119,1.652422416,0.160974612,0.289056718,43.08285618,46.42217758
98.95,2.276,7,13,1,0,Apache,2000,100,2.496230379,3.791845858,6.104734282,3.62584145,0.816597554,1.987375367,0.190382104,0.286657713,50.47038722,39.62719745
98.95,2.276,7,14,5,0,Apache,2000,100,2.243118767,3.155303144,7.062257502,4.51810515,0.855528772,1.593872273,0.171130766,0.236932078,45.48502445,43.9705161
98.95,2.276,7,8,5,1,Apache,2000,100,2.150640575,3.150511634,6.835061989,4.344764209,0.774850341,1.457753086,0.163942549,0.236292417,43.76450276,45.69913683
98.95,2.276,7,10,2,1,Apache,2000,100,2.200191073,3.479494894,6.845489562,3.768100207,0.785701165,1.97674613,0.168014981,0.272410203,44.98236299,44.46187055
98.95,2.276,7,7,3,3,Apache,2000,100,2.175389496,2.918326223,6.72675582,4.492979652,0.776921789,1.140130603,0.16606131,0.227683264,44.1657114,45.2839983
98.95,2.276,7,6,2,4,Apache,2000,100,2.219776577,3.71507926,6.609681533,3.15390106,0.901584249,2.227970374,0.169639433,0.31795855,45.11211824,44.33398559
98.95,2.276,7,1,4,0,Apache,2000,100,1.994514181,2.84882834,6.958384442,4.138767727,0.529959541,1.224189949,0.151859826,0.24181881,40.73768878,49.09458685
98.95,2.276,7,13,3,1,Apache,2000,100,2.253290343,3.089884269,6.871448305,4.522118591,0.909365838,1.628607166,0.172050671,0.234454736,46.02369499,43.45587638
98.95,2.276,7,4,6,0,Apache,2000,100,2.076993006,3.133002877,6.879524289,3.862134298,0.646269072,1.500506651,0.158266188,0.26027397,42.15448904,47.4445319
98.95,2.276,7,7,1,4,Apache,2000,100,2.293430159,3.747439981,6.328818186,3.210010341,0.803058301,1.896481586,0.175331569,0.313077781,46.67788267,42.84684492
98.95,2.276,7,9,2,3,Apache,2000,100,2.22912179,3.161571622,6.678167707,4.293047018,0.866866266,1.296668327,0.17020174,0.239976588,45.14853787,44.29822302
98.95,2.276,7,9,0,4,Apache,2000,100,2.778356987,3.529714847,4.917122817,3.256664097,1.231013347,1.795526147,0.212551366,0.307062678,56.48059726,35.41039042
98.95,2.276,7,8,4,2,Apache,2000,100,2.159884356,2.903182662,6.7794444,4.688308159,0.746962511,1.245948732,0.164537203,0.220270683,44.09304476,45.35862767
98.95,2.276,7,6,2,1,Apache,2000,100,2.115173557,3.41395607,6.857516143,3.737107185,0.726456695,1.901151502,0.161217416,0.270302492,42.69276166,46.84634871
98.95,2.276,7,3,1,0,Apache,2000,100,2.318885049,3.087545598,5.961080511,4.366156229,0.533154633,1.19154321,0.176230035,0.230836877,47.04701495,42.5106673
98.95,2.276,7,5,6,0,Apache,2000,100,2.082230126,3.275855017,6.981736171,3.67496391,0.687341529,1.608116412,0.158669613,0.274258393,42.40601134,47.16312468
98.95,2.276,7,2,4,4,Apache,2000,100,2.151405882,3.646407664,6.553360738,3.736307311,0.79249092,1.935441732,0.164518923,0.267644063,43.93563032,45.52114048
98.95,2.276,7,4,6,2,Apache,2000,100,2.118044829,3.401349783,6.694262525,4.127961215,0.721756451,1.474020708,0.161565367,0.243955182,43.08949471,46.4150256
98.95,2.276,7,14,0,4,Apache,2000,100,2.901903015,3.658446157,4.880394171,3.322287955,1.3330866,1.979140019,0.222018041,0.305031222,58.99302387,33.90231368
98.95,2.276,7,13,0,0,Apache,2000,100,2.885136182,3.679516387,4.884228842,3.287790279,1.314006433,1.978768921,0.220671951,0.307692602,58.67559648,34.08572081
98.95,2.276,7,5,1,3,Apache,2000,100,2.202871425,3.296245146,6.498462346,3.56212141,0.723460402,1.614363766,0.168089454,0.281796393,44.77656126,44.66622589
98.95,2.276,7,1,2,4,Apache,2000,100,2.08975919,3.298539329,6.684927237,4.25071318,0.681159942,1.754444444,0.159101231,0.235254647,42.59162927,46.95758379
98.95,2.276,7,6,0,1,Apache,2000,100,2.846728581,3.570080829,4.858163385,3.726125115,1.26078104,1.68683486,0.217831037,0.270877072,57.91100907,34.53574773
98.95,2.276,7,12,3,1,Apache,2000,100,2.258191882,3.396112573,6.808060939,3.976868129,0.853886382,1.686265433,0.172539024,0.261547362,45.91487026,43.55887294
