cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
88.26,3.295,121,3,2,1,BGL,2000,100,3.14619018,5.897245049,4.103646362,1.444109289,1.286636806,3.546353912,0.29134811,0.692468383,66.80053282,29.93988095
88.26,3.295,121,9,2,1,BGL,2000,100,3.367663343,7.826732981,4.17671529,1.044956238,1.542505585,5.372140145,0.307983232,0.956977876,71.30344844,28.04913428
88.26,3.295,121,11,2,3,BGL,2000,100,3.589586262,8.096261835,3.825829013,0.874192681,2.090593479,6.78676095,0.336115006,1.143912608,75.99255776,26.31836668
88.26,3.295,121,2,3,1,BGL,2000,100,3.081023256,6.426551008,4.205430193,1.534980289,1.180447109,3.282128155,0.278342711,0.651474193,65.91779661,30.34081997
88.26,3.295,121,3,1,0,BGL,2000,100,3.10832623,6.775323796,4.26080737,1.540043133,0.894986324,3.516187358,0.275815384,0.64933247,66.22997642,30.19780631
88.26,3.295,121,0,1,4,BGL,2000,100,3.109456648,6.199471748,4.061933069,1.631400096,1.117212634,3.249342489,0.282431582,0.612970427,66.30894256,30.16184428
88.26,3.295,121,14,5,0,BGL,2000,100,3.489013747,8.187664008,4.069767857,1.518625215,1.517582658,5.005761135,0.31262629,0.658490329,73.92542934,27.05428995
88.26,3.295,121,9,1,4,BGL,2000,100,3.642606479,7.76370517,3.962633684,1.055611493,2.131654387,6.100766277,0.338486207,0.947318275,77.14401078,25.92553822
88.26,3.295,121,5,1,1,BGL,2000,100,3.224899932,6.458406532,4.101150077,1.512414064,1.196864212,4.201420176,0.291423918,0.661195202,68.56196308,29.17069334
88.26,3.295,121,8,0,2,BGL,2000,100,3.436504756,6.723806214,3.718195159,1.660320803,1.633655388,3.863723087,0.316405222,0.602294444,73.09100795,27.36314707
88.26,3.295,121,12,2,3,BGL,2000,100,3.675751702,7.841465902,3.556394229,1.385091951,2.184271431,4.158153594,0.353269224,0.721973729,77.70492697,25.73839366
88.26,3.295,121,7,5,0,BGL,2000,100,3.231885417,6.974366665,4.222571957,1.23374652,1.391625196,4.401041484,0.297443459,0.810539651,68.95318794,29.0051854
