cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
91.5,3.925,14,0,0,0,HDFS,2000,100,3.8765897,5.560227537,3.53640623,2.232638703,1.637891523,2.457570553,0.295996234,0.44790052,79.0194757,25.31021602
91.5,3.925,14,2,3,4,HDFS,2000,100,3.524526077,6.493022978,4.140370062,2.190380698,1.307521214,4.457864654,0.265506716,0.456541666,73.23489189,27.30938694
91.5,3.925,14,1,4,0,HDFS,2000,100,3.338588936,5.699967599,4.258368263,2.370054801,0.876869056,2.330090809,0.250441291,0.421931204,67.90924692,29.45107022
91.5,3.925,14,7,3,1,HDFS,2000,100,3.498617409,7.03512882,4.376712543,1.944784825,1.258610426,5.159155858,0.261713706,0.514195707,74.4989872,26.84600255
91.5,3.925,14,0,5,3,HDFS,2000,100,3.438771567,5.669211864,4.155571156,2.560556689,1.081268806,2.236684322,0.259174188,0.390540075,70.33169293,28.43668219
91.5,3.925,14,7,5,3,HDFS,2000,100,3.738586985,7.777765167,4.050886175,1.738725758,1.678472113,5.632533658,0.284692742,0.575133843,77.42717838,25.83072303
91.5,3.925,14,2,4,0,HDFS,2000,100,3.306001552,6.083071733,4.396896265,1.969380533,0.908204107,3.627785981,0.249696536,0.507773895,67.09303093,29.80935534
91.5,3.925,14,3,1,4,HDFS,2000,100,3.646295094,6.273619461,4.010746433,1.940406999,1.226738423,3.589252889,0.276725129,0.515355813,74.61161876,26.80547659
91.5,3.925,14,12,2,1,HDFS,2000,100,3.688695038,8.25221597,4.229870505,1.680021607,1.423582815,5.003280747,0.27837913,0.595230448,76.12953043,26.27101453
91.5,3.925,14,13,2,0,HDFS,2000,100,3.882245129,8.634172523,4.203499267,1.560254898,1.356887848,5.103944302,0.290899297,0.640920994,78.83250761,25.37024459
91.5,3.925,14,2,5,4,HDFS,2000,100,3.39678609,5.800494242,4.237372782,2.384150048,1.252025144,4.78304044,0.255653401,0.419436694,71.72732353,27.88337695
91.5,3.925,14,10,5,2,HDFS,2000,100,3.619087607,7.413044965,4.272497311,1.730407435,1.571791092,5.306884336,0.271882955,0.577898776,77.02168512,25.9667131
91.5,3.925,14,14,5,0,HDFS,2000,100,3.881498224,9.954690671,4.236831169,1.415561816,1.511340882,4.611696708,0.296128165,0.706437649,78.91513038,25.34368239
91.5,3.925,14,1,1,1,HDFS,2000,100,3.504150396,6.182498586,4.059063715,2.547347899,0.824955169,2.21362741,0.26157162,0.392565296,71.36291361,28.02576155
91.5,3.925,14,13,6,1,HDFS,2000,100,3.671736094,8.033876693,4.277447774,1.557655488,1.543622349,6.177957487,0.278075726,0.641990555,75.24390268,26.58022682
91.5,3.925,14,3,6,2,HDFS,2000,100,3.446886302,6.746969521,4.299965261,1.904344449,1.225711881,3.107306087,0.260764121,0.52511689,71.20146799,28.0893085
91.5,3.925,14,9,3,2,HDFS,2000,100,3.731859645,8.294357455,4.137798876,1.871985875,1.525221772,4.160597479,0.281364881,0.534192241,76.40702391,26.17560399
91.5,3.925,14,11,5,2,HDFS,2000,100,3.674700536,7.511498761,4.283563694,1.701076933,1.721099683,5.456504512,0.276763267,0.587862897,77.80568075,25.70506396
91.5,3.925,14,13,0,3,HDFS,2000,100,4.160339234,7.308714294,3.462711158,1.655076267,1.932589354,5.422466469,0.319299868,0.604201778,86.11728501,23.22414135
91.5,3.925,14,12,0,1,HDFS,2000,100,4.244382156,7.630898726,3.401824377,1.765374214,1.944138816,4.650501215,0.325066133,0.566452299,86.84421039,23.02974477
91.5,3.925,14,8,3,4,HDFS,2000,100,3.857626975,7.312823772,3.965169746,1.444854393,1.776919939,5.876610935,0.296498384,0.692111467,80.2830534,24.91185768
91.5,3.925,14,6,1,4,HDFS,2000,100,3.84161449,8.023381817,3.973642692,1.727571119,1.607073867,5.188753867,0.29214896,0.578847477,78.20361996,25.57426371
91.5,3.925,14,1,6,4,HDFS,2000,100,3.529337364,6.324005997,4.098291336,2.334285486,1.249135078,2.814013302,0.264645173,0.428396678,71.60377693,27.9314875
91.5,3.925,14,10,6,0,HDFS,2000,100,3.659064438,8.602400637,4.326400267,1.639768216,1.214082924,4.787946618,0.27367034,0.609842325,74.55042791,26.82747847
91.5,3.925,14,7,1,4,HDFS,2000,100,4.012599509,8.400963295,3.910526607,1.267115787,1.769679544,5.857676744,0.308752958,0.789193895,82.95907164,24.10827364
91.5,3.925,14,12,4,3,HDFS,2000,100,3.838293812,8.768839741,4.123420059,1.44462194,1.715660558,6.661451507,0.291193932,0.692222631,78.34557533,25.52792537
91.5,3.925,14,6,5,0,HDFS,2000,100,3.470008877,8.381015766,4.368386623,1.863517922,1.05610779,4.900218177,0.260023121,0.53661949,72.47732735,27.59483653
