cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
95.4,2.354,46,14,5,0,HPC,2000,100,2.53732794,7.604443526,4.033058574,1.040466871,1.589011915,5.443639827,0.332648035,0.961107624,52.04324579,38.42957851
95.4,2.354,46,10,4,1,HPC,2000,100,2.507067597,7.077536881,3.941525584,1.117158964,1.636915891,4.702137852,0.329966614,0.895127764,51.55649662,38.79239535
95.4,2.354,46,8,1,3,HPC,2000,100,2.544659257,7.221359277,3.816529903,1.338394257,1.674287146,5.990108776,0.336263322,0.747163998,52.13015437,38.36551079
95.4,2.354,46,7,3,0,HPC,2000,100,2.278790785,5.703215218,4.010991106,1.515403452,1.328068301,4.263022602,0.308721586,0.659892078,47.28850079,42.29358019
95.4,2.354,46,6,5,1,HPC,2000,100,2.399886612,7.197008038,3.892648953,1.210581793,1.439502873,4.271666932,0.323390097,0.826049101,49.2533958,40.60633724
95.4,2.354,46,13,5,0,HPC,2000,100,2.756261224,7.693176723,3.994749772,1.033392912,1.892896075,6.435651577,0.351434536,0.967686233,56.72273874,35.25922839
95.4,2.354,46,3,3,2,HPC,2000,100,2.227676618,5.797515643,3.698584687,1.488571639,1.25018443,3.490227258,0.317353554,0.671784945,45.83377552,43.63594265
95.4,2.354,46,13,0,3,HPC,2000,100,2.411792555,7.913784719,4.033303876,1.482533381,1.510716249,5.735340202,0.305693186,0.674521078,49.79286289,40.16639903
95.4,2.354,46,11,0,0,HPC,2000,100,2.178609008,6.07557081,4.131301109,1.631909563,1.193590414,3.861537778,0.284605392,0.61277906,45.04892898,44.39617202
95.4,2.354,46,11,6,1,HPC,2000,100,2.699344869,8.257782674,3.679350816,1.20793903,1.849581862,5.63329488,0.346295914,0.827856357,55.46648526,36.05781024
95.4,2.354,46,14,2,4,HPC,2000,100,2.799954792,8.862545133,3.654234671,1.024527689,2.049577337,7.289972544,0.354423393,0.976059545,57.72758341,34.64548283
95.4,2.354,46,2,0,2,HPC,2000,100,2.024147839,4.852167261,4.097693451,2.00678708,1.039759812,3.193747723,0.271073769,0.498308971,42.0099299,47.6077919
95.4,2.354,46,6,5,4,HPC,2000,100,2.734616211,7.619033623,3.565740783,1.337489221,1.903491226,6.040530014,0.358717731,0.747669926,56.23594379,35.56444269
95.4,2.354,46,9,0,4,HPC,2000,100,2.546135149,6.769818246,3.808266589,1.281672209,1.831592374,5.848587251,0.334406367,0.780230697,52.55958366,38.0520518
95.4,2.354,46,13,2,2,HPC,2000,100,2.802714608,8.72104125,3.625470193,1.037489209,2.013960239,5.867653251,0.36840526,0.963865447,57.59717107,34.72392763
95.4,2.354,46,9,0,3,HPC,2000,100,2.396599267,6.343167102,3.939993898,1.452846207,1.50110454,5.489817548,0.315417652,0.688304178,49.43242431,40.45927401
95.4,2.354,46,4,0,0,HPC,2000,100,2.149242635,5.247959566,4.079267034,1.837296689,1.142998251,3.744184887,0.281122233,0.544277911,44.77799392,44.66479681
95.4,2.354,46,3,2,4,HPC,2000,100,2.339247358,6.520667028,3.529986263,1.370585589,1.445959726,4.094735622,0.333512076,0.729615165,48.252074,41.44899554
95.4,2.354,46,7,3,0,HPC,2000,100,2.281137429,5.927294135,4.126662657,1.375293551,1.317826844,3.529289246,0.303272849,0.727117496,46.92046809,42.6253207
95.4,2.354,46,5,5,4,HPC,2000,100,2.373419769,5.997739542,3.658788291,1.489110712,1.468750159,4.8569507,0.327116244,0.671542628,49.03765821,40.78498184
95.4,2.354,46,7,4,3,HPC,2000,100,2.351906902,7.185440588,3.873593473,1.693298879,1.509688792,4.423544991,0.315836923,0.590563378,49.26317596,40.59827571
95.4,2.354,46,1,1,3,HPC,2000,100,2.136348462,6.116504514,4.007821108,1.81138793,1.068681814,3.308706295,0.288010714,0.552065725,44.14464235,45.30561113
95.4,2.354,46,14,2,0,HPC,2000,100,2.673397494,8.280829656,3.989372294,1.011854099,1.778706012,5.53881191,0.346211588,0.988284775,54.93162704,36.4088979
95.4,2.354,46,0,3,1,HPC,2000,100,2.099712968,4.771218109,3.870272514,1.904612211,1.013824403,2.511629486,0.292709895,0.525041263,43.34327698,46.14325772
95.4,2.354,46,11,4,2,HPC,2000,100,2.617427705,7.686930382,3.835677959,1.090387118,1.837544252,5.29663589,0.344333249,0.917105491,54.09614348,36.9712122
95.4,2.354,46,3,4,2,HPC,2000,100,2.138045016,5.856462717,3.898303099,1.485289759,1.216188377,3.449612892,0.302227233,0.673269351,44.24256206,45.20533864
95.4,2.354,46,5,6,1,HPC,2000,100,2.363323325,6.752151883,3.937526797,1.289582217,1.421022643,4.563734162,0.316447863,0.775444962,48.98962402,40.82497141
95.4,2.354,46,4,6,0,HPC,2000,100,2.180601616,5.90191406,4.101553868,1.459392855,1.153594412,3.664328706,0.298610226,0.685216457,44.88356256,44.55974271
95.4,2.354,46,1,2,4,HPC,2000,100,2.277849624,6.812613988,3.71146332,1.798960854,1.225873323,3.829361069,0.312046341,0.555877108,46.92872882,42.61781749
95.4,2.354,46,11,2,1,HPC,2000,100,2.430953789,6.803167701,3.886763722,1.326630456,1.587271531,5.469980001,0.319608883,0.753789418,49.76214933,40.19119003
95.4,2.354,46,8,3,3,HPC,2000,100,2.433128622,7.319147873,3.685419676,1.472451323,1.601140726,4.544200051,0.328011207,0.679139632,50.25972438,39.79329423
95.4,2.354,46,12,1,2,HPC,2000,100,2.55942122,8.524207926,4.117805066,1.180191943,1.662169823,5.289558852,0.335323576,0.84732022,52.46864772,38.11800164
95.4,2.354,46,4,1,1,HPC,2000,100,2.254549919,6.572648382,4.010860142,1.380161127,1.226409224,3.931146359,0.303935865,0.724553084,46.6293807,42.89141245
95.4,2.354,46,0,2,3,HPC,2000,100,2.180005285,4.986515427,3.717823351,1.901059773,1.090614184,2.761350155,0.303529563,0.526022394,45.24731016,44.20152254
95.4,2.354,46,2,5,2,HPC,2000,100,2.223713432,5.903894818,3.909440139,1.551474825,1.197141062,4.05113306,0.301012693,0.644548023,45.99546409,43.48254855
95.4,2.354,46,14,6,0,HPC,2000,100,2.461629792,6.643098009,4.095072155,1.062463807,1.598057445,4.858009851,0.323604804,0.941208797,50.57771087,39.54311031
95.4,2.354,46,6,3,1,HPC,2000,100,2.346736517,6.987395608,3.998210194,1.211479267,1.427409603,4.01075685,0.311195412,0.825437336,48.7779355,41.00214532
95.4,2.354,46,2,0,4,HPC,2000,100,2.135349104,5.495366514,4.028042319,1.794435466,1.218784449,3.539276743,0.28207966,0.557280049,44.32690716,45.11932206
95.4,2.354,46,9,3,2,HPC,2000,100,2.535970894,6.089791012,3.922268001,1.154756805,1.708297209,4.316673601,0.340135873,0.865983367,52.71766996,37.93794379
