cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
94.17,3.576,114,3,5,0,Hadoop,2000,100,3.351963763,8.502441001,6.122920399,2.615409551,0.596972209,1.333746958,0.191650945,0.382354271,70.62580633,28.31826076
94.17,3.576,114,6,2,0,Hadoop,2000,100,3.5087443,10.37596638,6.160582152,2.116487582,0.775977832,2.080220091,0.203810139,0.472481846,73.70402861,27.13555877
94.17,3.576,114,13,4,3,Hadoop,2000,100,3.849847235,9.340897238,5.709554967,1.709253137,1.292797822,6.375877082,0.227484192,0.585051942,80.84963083,24.73728055
94.17,3.576,114,12,3,0,Hadoop,2000,100,3.661198897,10.78808483,6.03679067,2.029593696,0.856439509,3.169332373,0.212049252,0.492714457,77.06113958,25.95341843
94.17,3.576,114,14,0,4,Hadoop,2000,100,4.959636585,9.757639909,4.098061221,1.581699869,2.360795208,8.491169238,0.295057274,0.632240253,103.1166441,19.39551094
94.17,3.576,114,1,6,2,Hadoop,2000,100,3.343828845,7.285582173,6.03889528,2.260100878,0.7044384,2.650647056,0.191041514,0.442458614,70.95890069,28.18532954
94.17,3.576,114,9,1,4,Hadoop,2000,100,3.901491513,8.662749171,5.516807276,1.905773467,1.357422551,6.535540473,0.22918932,0.524721395,81.92444277,24.41273852
94.17,3.576,114,10,3,0,Hadoop,2000,100,3.562136221,10.72892501,6.133286627,2.407034534,0.807409665,1.977800083,0.207500275,0.415451019,74.91409802,26.69724461
94.17,3.576,114,13,3,3,Hadoop,2000,100,3.830951523,9.315572309,5.727385799,1.809296357,1.28417541,5.731834638,0.225449277,0.552702074,80.25483918,24.92061563
94.17,3.576,114,7,2,1,Hadoop,2000,100,3.528048616,9.956280315,6.149794541,1.913282247,0.990359096,3.46145947,0.208128887,0.522662086,74.30173349,26.9172724
94.17,3.576,114,12,6,1,Hadoop,2000,100,3.654052239,8.891187227,5.96384099,2.19181159,1.014377549,5.512306476,0.212713075,0.456246146,76.8321104,26.03078309
94.17,3.576,114,7,5,4,Hadoop,2000,100,3.645705695,7.731849337,5.726459348,2.152791477,1.216242189,4.491489053,0.214087248,0.46451671,76.78834176,26.04562039
94.17,3.576,114,10,2,0,Hadoop,2000,100,3.650839961,10.97877287,6.0574628,2.132437475,0.867390394,3.093320644,0.212653378,0.468948691,76.7331152,26.06436602
94.17,3.576,114,5,6,1,Hadoop,2000,100,3.442979926,9.512735164,6.167488845,2.327209813,0.817271673,2.224576128,0.200054896,0.429699123,72.50992131,27.58243236
94.17,3.576,114,6,0,2,Hadoop,2000,100,4.625496918,9.723096132,4.193972421,1.665779996,1.962964132,4.024780476,0.273507326,0.600319574,96.47153354,20.73150417
94.17,3.576,114,13,0,2,Hadoop,2000,100,4.75873034,10.29544828,4.131831169,1.60201347,2.07362949,4.444632757,0.28163108,0.624219527,99.15615392,20.17020549
94.17,3.576,114,5,2,2,Hadoop,2000,100,3.496577035,9.522777438,6.046923,2.40139211,0.843306008,2.329699373,0.203350334,0.416449142,73.50268888,27.20988892
94.17,3.576,114,7,6,3,Hadoop,2000,100,3.55590229,8.261680174,5.939414636,2.310911909,1.001557056,4.425457215,0.205970609,0.432729661,74.9485147,26.68498513
94.17,3.576,114,5,1,4,Hadoop,2000,100,3.72227774,8.367425263,5.605897587,2.184953542,1.107170285,4.734028566,0.21525448,0.457676042,78.18206072,25.58131599
94.17,3.576,114,0,1,2,Hadoop,2000,100,3.645833826,7.898745,5.462898588,2.24382122,0.6177775,2.366507399,0.206394174,0.445668329,76.73302889,26.06439533
94.17,3.576,114,11,6,4,Hadoop,2000,100,3.839376201,8.407898188,5.609660977,1.840803446,1.431448377,6.223976398,0.226302352,0.543241061,82.11270714,24.35676608
94.17,3.576,114,4,1,3,Hadoop,2000,100,3.724169105,9.064610934,5.553342915,2.190668664,0.956831346,4.20782119,0.21663133,0.4564884,78.42956257,25.50058848
94.17,3.576,114,2,3,3,Hadoop,2000,100,3.425870359,8.998596144,6.078318584,2.109160632,0.871448313,3.250790083,0.198390421,0.474122529,72.51519799,27.58042528
94.17,3.576,114,14,2,3,Hadoop,2000,100,3.867352355,9.984590232,5.794873529,1.613607904,1.460628758,6.662646949,0.229156766,0.619729706,81.61860633,24.5042165
94.17,3.576,114,9,4,0,Hadoop,2000,100,3.55810884,10.99208059,6.162679705,2.475085004,0.876945665,2.135047495,0.208589437,0.404030979,74.80166316,26.73737342
94.17,3.576,114,9,4,1,Hadoop,2000,100,3.560952405,11.31676396,6.152672525,2.145222248,0.951004357,2.822778904,0.20881585,0.466152225,74.94081879,26.68772549
94.17,3.576,114,1,3,3,Hadoop,2000,100,3.424613028,8.340429902,6.062770129,2.214642186,0.832415522,3.033498371,0.197616643,0.451540232,72.20593739,27.69855323
94.17,3.576,114,1,4,3,Hadoop,2000,100,3.351702289,7.737697291,6.088830129,2.120654582,0.801351069,2.887252152,0.19296622,0.471552526,70.73022532,28.27645453
94.17,3.576,114,0,0,4,Hadoop,2000,100,4.526542675,7.974241102,4.174449699,2.004030859,1.847474925,3.333529758,0.263828291,0.498994313,94.4126935,21.18359223
94.17,3.576,114,3,5,4,Hadoop,2000,100,3.543378138,8.679608512,5.920997047,2.01811298,1.078749892,4.228140581,0.207752085,0.495512777,74.40915489,26.87841305
94.17,3.576,114,11,1,1,Hadoop,2000,100,3.931467046,10.89629641,5.427104151,1.884645198,0.976766472,3.976671934,0.228327787,0.530603901,82.28740835,24.30505517
94.17,3.576,114,3,0,4,Hadoop,2000,100,4.502584165,9.107015657,4.266981366,2.029123686,1.912808818,3.921187639,0.262651736,0.492824185,93.98604488,21.27975491
