cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
91.78,2.94,76,14,4,0,HealthApp,2000,100,2.931389508,9.669796085,5.537608136,2.160131843,0.994489069,2.546693242,0.222723671,0.462934869,63.18980241,31.65067659
91.78,2.94,76,6,0,4,HealthApp,2000,100,3.507616571,6.281779659,3.994648338,2.320126506,1.518660456,2.836046898,0.272635632,0.431011248,74.57351041,26.81917465
91.78,2.94,76,5,1,3,HealthApp,2000,100,2.922881409,5.783596194,5.169863604,2.500079916,0.953659875,2.648904109,0.221624142,0.399987296,61.50382066,32.51830502
91.78,2.94,76,12,3,2,HealthApp,2000,100,2.741728876,5.501541817,5.566729074,2.434286585,0.998945118,3.077678323,0.208945127,0.410797977,58.26367259,34.3267067
91.78,2.94,76,4,6,4,HealthApp,2000,100,2.881315514,5.612291849,5.256926342,2.461942638,1.086278029,3.806006634,0.219373767,0.406183459,62.25988483,32.1234131
91.78,2.94,76,10,3,1,HealthApp,2000,100,2.846110963,8.007426929,5.510736424,2.460317991,0.98825534,2.613911927,0.215077842,0.406452265,61.4517808,32.54584284
91.78,2.94,76,8,3,2,HealthApp,2000,100,2.813738387,7.123560846,5.501028943,2.426021646,1.022494049,3.028436804,0.213847111,0.412197917,59.60766673,33.55273088
91.78,2.94,76,9,3,2,HealthApp,2000,100,2.862731404,7.385537922,5.476215986,2.361364437,1.054984357,3.336297894,0.215954577,0.423492465,60.30578852,33.16431224
91.78,2.94,76,3,2,0,HealthApp,2000,100,2.645263205,5.306814969,5.667520008,2.728170384,0.668999146,1.661187553,0.197882605,0.366546497,56.96605325,35.10862849
91.78,2.94,76,11,5,0,HealthApp,2000,100,2.809156497,8.270379424,5.685816102,2.310905321,0.87134798,3.344959188,0.211760852,0.432731077,59.33747578,33.70551197
91.78,2.94,76,11,6,0,HealthApp,2000,100,2.816839071,8.322077727,5.669302907,2.382136865,0.851041675,2.387233078,0.21191599,0.41979118,59.41530633,33.66135973
91.78,2.94,76,8,4,0,HealthApp,2000,100,2.755574599,7.012770045,5.638883289,2.609506557,0.697298446,1.762038207,0.205742768,0.383214218,59.5213933,33.60136397
91.78,2.94,76,7,1,3,HealthApp,2000,100,2.922715534,6.187058592,5.2325135,2.284526232,0.986274922,3.314172626,0.221525284,0.437727627,61.56331992,32.48687697
91.78,2.94,76,9,4,4,HealthApp,2000,100,2.981191828,7.166312492,5.274474845,2.053349164,1.219714408,4.958240402,0.2286193,0.487009239,62.64673495,31.92504767
91.78,2.94,76,11,2,0,HealthApp,2000,100,2.888074309,8.180402648,5.540056738,2.37079003,0.934726303,2.321919537,0.21740865,0.421800334,62.00612068,32.25488029
91.78,2.94,76,1,2,2,HealthApp,2000,100,2.659073292,4.997332144,5.564161427,2.818602094,0.783875682,2.320356488,0.199993038,0.354785953,56.03666043,35.69092063
91.78,2.94,76,14,0,1,HealthApp,2000,100,3.64174961,7.267037404,3.94002471,2.17119822,1.620166619,3.010236931,0.28326759,0.460575177,77.32156897,25.86600384
91.78,2.94,76,13,3,1,HealthApp,2000,100,2.919439274,9.157502341,5.497531204,2.182749895,1.067595085,4.01697818,0.22130836,0.458138115,62.48890519,32.00568155
91.78,2.94,76,0,5,1,HealthApp,2000,100,2.712468033,4.818791389,5.446600105,2.609792739,0.728784844,1.828981364,0.20485593,0.383172288,57.64903522,34.69268813
91.78,2.94,76,1,1,2,HealthApp,2000,100,2.846944278,5.387441218,5.146115165,2.698040219,0.691899133,2.373073399,0.211985022,0.370639592,61.54226375,32.49799208
91.78,2.94,76,13,1,3,HealthApp,2000,100,2.953311389,6.052879941,5.097672857,2.524060082,0.9251195,2.66213057,0.223202639,0.396187083,62.89812851,31.79744847
91.78,2.94,76,4,6,3,HealthApp,2000,100,2.870639559,6.114704204,5.279828018,2.502082208,0.950547925,2.394345105,0.21823576,0.399667274,61.48101425,32.5303677
91.78,2.94,76,2,0,3,HealthApp,2000,100,3.481622287,6.053136206,4.003912129,2.429490394,1.489405702,2.768960965,0.269857462,0.411608954,74.01675153,27.02091025
91.78,2.94,76,0,0,2,HealthApp,2000,100,3.42701527,5.657751393,4.039516059,2.563622544,1.423381549,2.576710808,0.264130839,0.390073197,72.93945861,27.42000062
91.78,2.94,76,6,5,0,HealthApp,2000,100,2.704961065,6.432807958,5.660186885,2.77201809,0.774611845,1.535690069,0.20309354,0.360748037,58.37027144,34.26401746
91.78,2.94,76,4,4,3,HealthApp,2000,100,2.874004558,6.275779438,5.305408477,2.503058931,0.999839266,4.036664259,0.218046464,0.399511177,61.91720414,32.30120009
91.78,2.94,76,12,5,1,HealthApp,2000,100,2.878644478,8.682177019,5.503518778,2.325040244,1.079662305,3.128585863,0.219026425,0.430100089,60.84841204,32.86856523
91.78,2.94,76,5,3,2,HealthApp,2000,100,2.78039088,5.891224194,5.42658878,2.368718835,1.01687279,2.912194908,0.212180766,0.422169144,58.5474205,34.16034358
91.78,2.94,76,10,6,4,HealthApp,2000,100,3.008349423,7.672405493,5.234846746,1.92348202,1.322247015,3.509908998,0.232818634,0.519890535,62.80872917,31.84270764
91.78,2.94,76,7,0,1,HealthApp,2000,100,3.536915877,6.513541794,3.993171573,2.35594813,1.552078283,3.011836267,0.274939827,0.424462448,73.9568882,27.04278193
91.78,2.94,76,7,2,4,HealthApp,2000,100,2.866323851,6.080716836,5.311522668,2.355469103,1.050337617,2.843107164,0.218810125,0.424543884,61.77581835,32.37512757
91.78,2.94,76,9,4,4,HealthApp,2000,100,3.034697532,7.115920234,5.189246775,1.849625765,1.321099768,4.628315377,0.23538949,0.54064991,63.66061401,31.41659927
91.78,2.94,76,13,6,4,HealthApp,2000,100,3.096007249,8.955319893,5.197788664,1.937478653,1.506528668,4.443712628,0.239298833,0.516135936,66.52198672,30.06524757
91.78,2.94,76,12,1,4,HealthApp,2000,100,2.918331609,5.814552677,5.188945803,2.279729025,1.078226931,3.978519678,0.222369761,0.438648687,62.65651751,31.92006322
91.78,2.94,76,2,0,1,HealthApp,2000,100,3.449593999,5.820284379,4.015669512,2.43914515,1.451589234,2.845031118,0.267408592,0.409979701,71.92261767,27.80766419
91.78,2.94,76,2,6,1,HealthApp,2000,100,2.675574443,5.191736686,5.563153548,2.748028689,0.753715936,2.385481656,0.201331653,0.363897239,56.40048909,35.4606854
91.78,2.94,76,1,5,1,HealthApp,2000,100,2.678677842,4.89561013,5.55308994,2.617867024,0.76885693,2.241116273,0.202142673,0.381990393,56.71668649,35.26299091
91.78,2.94,76,8,4,3,HealthApp,2000,100,2.89301912,6.621696961,5.340451722,2.20180925,1.046476977,3.73522644,0.220176268,0.4541722,61.03009915,32.77071523
91.78,2.94,76,6,2,2,HealthApp,2000,100,2.794561442,6.283925855,5.43649436,2.60193777,1.073762193,3.39616586,0.212701208,0.38432944,60.31680608,33.15825439
91.78,2.94,76,3,6,0,HealthApp,2000,100,2.655329943,5.343574882,5.662907228,2.662253542,0.713482922,2.187440228,0.197797967,0.375621648,56.22862339,35.56907282
91.78,2.94,76,10,2,2,HealthApp,2000,100,2.903327572,7.96572299,5.41547391,2.311688555,1.076996784,3.891630602,0.22101048,0.432584286,60.80681515,32.89105004
91.78,2.94,76,1,1,4,HealthApp,2000,100,2.944959383,6.027854383,5.089949991,2.251446779,0.907995244,2.805782688,0.223351073,0.444158869,62.97893286,31.75665114
91.78,2.94,76,13,1,0,HealthApp,2000,100,3.085633172,9.088056755,5.122783544,2.218371855,0.804168373,1.86361239,0.23122341,0.450830279,64.45513082,31.02933738
91.78,2.94,76,10,4,4,HealthApp,2000,100,3.067256959,7.437923038,5.148918797,1.77298249,1.383555617,5.125443316,0.238741046,0.564021417,63.63700056,31.42825687
91.78,2.94,76,7,0,0,HealthApp,2000,100,3.564465173,6.676427066,3.985829964,2.255416074,1.560912488,3.13539747,0.276691813,0.443377176,75.61905861,26.44835888
91.78,2.94,76,5,5,3,HealthApp,2000,100,2.859517735,5.915262949,5.353145578,2.475039587,1.01310951,2.740516758,0.217406791,0.404033947,61.71339107,32.40787721
91.78,2.94,76,14,5,2,HealthApp,2000,100,2.943462276,9.476170957,5.4218035,2.204665313,1.219982893,2.753341162,0.224243143,0.453583598,63.47485995,31.50853742
91.78,2.94,76,3,3,3,HealthApp,2000,100,2.847670174,6.224645674,5.324830856,2.50025955,0.982235968,3.587612772,0.215452348,0.399958486,61.36486697,32.59193898
91.78,2.94,76,0,1,3,HealthApp,2000,100,2.838714421,5.445364058,5.137671534,2.859925567,0.693972902,2.102685821,0.211346655,0.349661413,60.8082943,32.89024998
