cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
94.25,4.57,119,12,1,2,Linux,2000,100,5.078520733,10.35797647,3.115042759,1.196961974,2.744637416,6.311089265,0.410485555,0.835450044,104.0294902,19.2253177
94.25,4.57,119,8,2,0,Linux,2000,100,4.551542536,9.04687767,3.473493007,1.521952371,2.039436144,5.009103894,0.358246892,0.657050785,93.86994767,21.30607345
94.25,4.57,119,11,4,3,Linux,2000,100,5.440766799,9.932974398,2.877540158,1.053211365,3.381277717,7.284645402,0.451495668,0.949477034,113.136337,17.6777864
94.25,4.57,119,7,5,4,Linux,2000,100,4.618705533,8.815902567,3.449765042,1.279889689,2.738650311,5.845776141,0.386400386,0.781317351,96.6557765,20.69198627
94.25,4.57,119,6,6,0,Linux,2000,100,4.430694952,9.49824549,3.625451999,1.658275282,1.939904692,4.467053187,0.349869738,0.60303636,92.62946963,21.59140075
94.25,4.57,119,14,6,0,Linux,2000,100,4.855069897,10.51808655,3.306799712,1.507914914,2.465800407,5.695651209,0.385734207,0.663167411,100.3687482,19.92652131
94.25,4.57,119,1,6,1,Linux,2000,100,3.533464544,7.187201011,4.248323998,2.301407077,1.121048772,2.583628464,0.27069613,0.434516786,73.65366936,27.15411218
94.25,4.57,119,10,2,1,Linux,2000,100,4.52838985,9.97256701,3.464516022,1.493371589,2.316525401,4.631396592,0.36869835,0.669625731,94.9401195,21.06590986
94.25,4.57,119,14,3,1,Linux,2000,100,4.92039631,11.69468454,3.188202774,1.473513673,2.711098475,5.176133037,0.392624083,0.678649963,102.3594,19.5389969
94.25,4.57,119,8,4,2,Linux,2000,100,4.775281952,9.027219677,3.255618154,1.258069056,2.528557271,5.494195449,0.389698487,0.794868933,100.5960414,19.88149803
94.25,4.57,119,9,3,0,Linux,2000,100,4.50638482,9.470456028,3.551971382,1.440460616,1.891140404,4.693810511,0.355557361,0.69422241,92.30481529,21.66734199
94.25,4.57,119,7,6,3,Linux,2000,100,4.777238323,9.745840383,3.252822427,1.473274136,2.39532642,5.502187502,0.384435711,0.678760305,98.69522595,20.26440469
94.25,4.57,119,5,5,1,Linux,2000,100,4.096001017,9.043196201,3.743596815,1.777536406,1.751755375,4.098176229,0.32236167,0.56257742,86.07473731,23.2356213
94.25,4.57,119,12,1,3,Linux,2000,100,5.044028324,10.57274312,3.269543264,1.153194129,2.985546746,8.172257376,0.411570587,0.867156784,104.7896628,19.08585204
94.25,4.57,119,1,5,2,Linux,2000,100,3.659224714,7.132653964,4.087194871,1.955646784,1.304939733,3.161879635,0.289465203,0.51133993,75.26961899,26.57114553
94.25,4.57,119,10,4,1,Linux,2000,100,5.125843199,10.07500192,3.052934611,1.35709302,2.654337996,5.899040926,0.42227662,0.736869233,107.0371771,18.68509666
94.25,4.57,119,11,2,2,Linux,2000,100,4.902452998,8.471892631,3.260860621,1.388691673,3.008867093,5.300238657,0.406848189,0.72010231,102.9837468,19.42054026
94.25,4.57,119,13,3,3,Linux,2000,100,5.277468116,11.74239107,3.095803415,0.976220146,3.515385982,8.775390923,0.43709405,1.024359115,109.5763288,18.25211725
94.25,4.57,119,7,2,4,Linux,2000,100,4.797661999,8.822348547,3.299612079,1.28609005,2.832791986,6.035899174,0.400419787,0.777550533,100.5172503,19.89708228
94.25,4.57,119,7,6,4,Linux,2000,100,5.139801276,8.644929481,3.01647648,1.06632315,3.064399325,5.933727932,0.436409547,0.937802182,107.4785099,18.60837112
94.25,4.57,119,5,1,4,Linux,2000,100,4.736975132,9.510954285,3.386928039,1.16247005,2.697438102,6.786077273,0.387739015,0.860237287,100.1339183,19.97325216
94.25,4.57,119,14,3,3,Linux,2000,100,5.605387949,11.7575644,3.028916266,0.944887458,3.853833065,9.009818089,0.471934463,1.058327096,116.1807425,17.21455688
94.25,4.57,119,5,1,0,Linux,2000,100,3.938348827,8.61721549,4.035601733,1.857485493,1.188466379,3.372357523,0.297485332,0.538362246,81.24571133,24.61668397
94.25,4.57,119,6,6,0,Linux,2000,100,4.295137949,9.37392689,3.74518314,1.36125546,1.715876711,5.228599548,0.337306884,0.734624363,88.28587818,22.65367963
94.25,4.57,119,4,0,2,Linux,2000,100,3.932904526,7.912804842,3.700392154,1.811854189,1.815980025,4.339925551,0.312554945,0.551922251,82.4705019,24.25109529
94.25,4.57,119,2,1,1,Linux,2000,100,3.734160482,7.701427984,4.015139751,2.197160857,1.112307575,2.447308218,0.283956785,0.455132823,78.18066001,25.58177431
94.25,4.57,119,6,4,0,Linux,2000,100,4.225761223,9.103372431,3.734496578,1.69154956,1.774233943,3.795258236,0.332313898,0.591173942,87.76938105,22.78698991
94.25,4.57,119,12,2,2,Linux,2000,100,5.182023546,11.25612335,2.968726263,1.188340986,2.995059168,6.397052729,0.432830917,0.841525801,108.2675447,18.47275658
94.25,4.57,119,11,5,1,Linux,2000,100,4.802282892,9.719716239,3.274282354,1.50167394,2.607869301,4.830553269,0.387426529,0.665923585,98.98341155,20.20540582
94.25,4.57,119,8,0,4,Linux,2000,100,4.192900926,7.862316835,3.588949422,1.440963625,2.116241558,6.090576351,0.340229014,0.693982704,88.13389397,22.69274521
94.25,4.57,119,11,5,2,Linux,2000,100,5.137160169,9.343017793,2.971660926,1.26590124,2.90967874,6.037208903,0.430687704,0.789951088,105.992811,18.86920426
94.25,4.57,119,9,4,2,Linux,2000,100,4.969222903,9.790056801,3.233402207,1.147980416,2.78451784,6.660347784,0.403956492,0.871098186,103.9676244,19.2367577
94.25,4.57,119,0,3,0,Linux,2000,100,3.365527734,6.961900163,4.379950926,2.353818147,0.969931861,2.294457257,0.259364375,0.424841768,69.34834647,28.83990898
94.25,4.57,119,3,0,3,Linux,2000,100,4.041436519,7.535532475,3.596281196,1.803375243,1.862722567,3.726881218,0.324713253,0.554515765,84.29384255,23.72652544
94.25,4.57,119,0,3,4,Linux,2000,100,3.519718012,7.030949366,4.186099486,2.081356213,1.274603429,2.455016565,0.278612725,0.480455974,74.92481518,26.69342587
94.25,4.57,119,13,4,0,Linux,2000,100,4.422096602,11.20907018,3.792292764,1.452829855,2.052201069,4.709391642,0.349884551,0.688311851,92.23014307,21.6848845
94.25,4.57,119,1,5,2,Linux,2000,100,3.761822142,7.055126131,3.869732538,1.996498934,1.34929373,2.96960814,0.299933229,0.500876802,78.88119102,25.35458674
94.25,4.57,119,2,3,1,Linux,2000,100,3.867227581,7.795993662,3.836978487,1.881922655,1.512291277,3.129783654,0.304560638,0.531371501,81.18534327,24.63498853
94.25,4.57,119,1,6,2,Linux,2000,100,3.589813195,7.453573143,4.06612426,2.291516874,1.223918039,2.505053699,0.277951975,0.436392164,77.72424769,25.7319956
94.25,4.57,119,3,1,1,Linux,2000,100,3.687631624,7.943078244,4.091984348,2.041982148,1.115399398,3.283480632,0.282334177,0.489720298,77.16406298,25.9188011
94.25,4.57,119,2,1,1,Linux,2000,100,3.689014845,7.349374342,4.044660289,1.729727454,1.231508502,3.300070274,0.287653243,0.57812577,76.87066936,26.01772583
94.25,4.57,119,14,4,3,Linux,2000,100,5.24047191,11.04910356,3.25634319,0.932614831,3.401289296,8.99426775,0.437381325,1.072254018,107.1868825,18.65899962
94.25,4.57,119,9,2,3,Linux,2000,100,4.495595822,9.367801559,3.5608294,1.228997355,2.486787448,6.019204223,0.360491355,0.813671404,94.03528285,21.26861258
94.25,4.57,119,3,5,4,Linux,2000,100,4.15744865,8.123222136,3.841457012,1.39246493,2.107369466,5.47051512,0.343812738,0.718151468,87.87079835,22.76068999
94.25,4.57,119,10,0,4,Linux,2000,100,4.48981574,7.406490028,3.275513818,1.430863577,2.55093082,5.366451633,0.367741028,0.69887865,93.98053288,21.28100298
