cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
62.26,8.4895,344,1,1,0,Mac,2000,100,7.78255905,17.825517,3.591417077,2.22709148,0.846962651,2.617437959,0.297918662,0.449016174,160.2605097,12.47968076
62.26,8.4895,344,3,6,1,Mac,2000,100,7.738605722,17.13552433,3.58189074,2.106151385,1.345102207,3.908364117,0.304989924,0.474799679,159.7247057,12.52154444
62.26,8.4895,344,3,1,1,Mac,2000,100,7.851255269,17.65055485,3.533288013,2.130709751,1.079762034,3.134369206,0.304950714,0.469327181,161.7633226,12.36374209
62.26,8.4895,344,9,6,2,Mac,2000,100,8.193548365,17.51052313,3.4191891,1.770727291,2.270030519,5.186028588,0.330659828,0.5647397,168.9220281,11.83978208
62.26,8.4895,344,1,6,4,Mac,2000,100,7.819258854,17.5401952,3.565366754,1.849524668,1.931955116,5.078354561,0.31283707,0.540679765,161.2999735,12.39925808
62.26,8.4895,344,10,4,0,Mac,2000,100,8.040947972,18.5250384,3.532779391,2.115833562,0.997616023,2.516953015,0.308186767,0.472626969,165.4454031,12.08858005
62.26,8.4895,344,0,3,3,Mac,2000,100,7.682102372,17.00242689,3.631875538,2.030612539,1.378053299,3.45890677,0.300818602,0.492462319,158.8402996,12.59126308
62.26,8.4895,344,6,1,2,Mac,2000,100,8.041169242,18.13209307,3.478291538,2.036710649,1.324774865,4.806279445,0.311588658,0.490987765,166.4728549,12.0139707
62.26,8.4895,344,4,0,3,Mac,2000,100,9.130627657,16.88599911,2.803293231,1.513394934,3.68351244,5.704319,0.39500527,0.660766066,188.4643312,10.61208764
62.26,8.4895,344,12,2,0,Mac,2000,100,8.189244582,19.37133378,3.468663286,1.899725823,1.194218616,3.546231866,0.31791467,0.526392299,168.4771025,11.87104936
62.26,8.4895,344,6,3,3,Mac,2000,100,7.936405177,17.70252533,3.537484548,1.681446853,2.257037243,6.987511146,0.322666819,0.594725905,164.0804398,12.18914334
62.26,8.4895,344,6,4,3,Mac,2000,100,7.984357185,17.84281783,3.524859713,1.781636757,2.115790002,6.77535851,0.321296618,0.56128173,164.8160906,12.13473753
62.26,8.4895,344,13,3,0,Mac,2000,100,8.338733367,19.80021355,3.390449326,1.930371409,1.212903568,3.308904314,0.323127159,0.518035036,171.3947108,11.66897153
62.26,8.4895,344,8,4,4,Mac,2000,100,8.749945695,19.18083075,3.285876744,1.254230594,4.188585498,10.05183418,0.379298994,0.797301554,179.5522189,11.13882085
62.26,8.4895,344,5,3,4,Mac,2000,100,8.032093607,18.54319017,3.474410848,1.545060297,2.813478848,7.562937403,0.33526388,0.647223932,165.9510932,12.05174345
62.26,8.4895,344,13,2,4,Mac,2000,100,9.585263033,19.63202662,2.922360002,1.062769065,5.920705369,13.61464597,0.431784795,0.940938191,200.8615499,9.957107278
62.26,8.4895,344,5,6,3,Mac,2000,100,7.942664342,17.34787793,3.542914046,1.732732489,2.083875272,6.172147655,0.319509027,0.577123397,166.2649422,12.02899405
62.26,8.4895,344,0,0,2,Mac,2000,100,8.927083194,16.91571184,2.91184405,1.61446831,3.523561168,5.140258884,0.376702933,0.619399038,184.4109704,10.84534177
62.26,8.4895,344,11,6,1,Mac,2000,100,8.205021402,19.07887241,3.485800271,1.81513503,1.633021474,5.194962609,0.321399767,0.550923267,168.9616349,11.83700668
62.26,8.4895,344,6,2,1,Mac,2000,100,7.838461497,18.02722127,3.588557205,1.99755241,1.458269887,3.748151779,0.307481861,0.50061341,161.5672302,12.37874783
62.26,8.4895,344,14,6,4,Mac,2000,100,10.24178173,20.19715034,2.74905682,0.982396853,6.909852999,13.57185936,0.467376135,1.017918829,213.8724961,9.351366053
62.26,8.4895,344,14,5,3,Mac,2000,100,8.766192481,20.26252284,3.267068943,1.541415228,3.0339491,8.74869132,0.357881156,0.648755044,181.0189168,11.04856904
62.26,8.4895,344,0,5,2,Mac,2000,100,7.728722291,16.65334609,3.598001351,2.076965527,1.291872691,3.451322591,0.303376246,0.481471663,160.0774548,12.49395177
62.26,8.4895,344,10,3,4,Mac,2000,100,8.777586419,17.68899976,3.170167028,1.328004889,4.271602453,10.13348035,0.38005467,0.753009301,183.2939646,10.91143401
62.26,8.4895,344,11,0,2,Mac,2000,100,9.594565896,17.87795118,2.668674595,1.44590725,3.912365399,6.597721195,0.415060807,0.691607302,197.6986735,10.11640576
62.26,8.4895,344,2,2,1,Mac,2000,100,7.479261802,16.47760257,3.715845114,2.170545845,1.252766557,3.272018206,0.292447266,0.460713642,154.3860695,12.95453668
62.26,8.4895,344,8,4,4,Mac,2000,100,8.454217773,18.28265526,3.279271683,1.430194215,3.887629088,9.0874071,0.359673107,0.699205905,176.2593038,11.34691875
62.26,8.4895,344,3,4,1,Mac,2000,100,7.573005185,16.76246293,3.683932046,2.104809218,1.298710455,4.006483626,0.297359516,0.475102773,156.2253695,12.80201805
62.26,8.4895,344,2,2,3,Mac,2000,100,7.596960314,16.87826319,3.646294562,1.907164199,1.774314662,5.534377921,0.307524571,0.524338714,157.9781191,12.65998108
62.26,8.4895,344,10,1,2,Mac,2000,100,8.319172086,18.51593429,3.353617323,1.880089721,1.573049188,4.070715666,0.326563229,0.531890167,171.6976342,11.64838414
62.26,8.4895,344,8,3,4,Mac,2000,100,8.469293691,17.80277762,3.278479262,1.411645259,3.939940061,10.27080557,0.36300107,0.708393272,176.9185624,11.30463628
62.26,8.4895,344,4,4,0,Mac,2000,100,7.616015825,16.82742974,3.698739915,2.179112107,0.988547765,2.425494826,0.294238935,0.458902504,156.9737246,12.74098582
62.26,8.4895,344,12,4,2,Mac,2000,100,8.543424942,17.60407037,3.272581842,1.463586811,3.011311466,8.035657728,0.35555945,0.683253217,177.6000817,11.26125608
62.26,8.4895,344,9,0,0,Mac,2000,100,9.434822445,17.83167288,2.722005267,1.514064659,3.816259882,6.381054723,0.404636369,0.660473837,194.4922969,10.28318361
62.26,8.4895,344,7,5,3,Mac,2000,100,8.220602266,17.10889091,3.438950838,1.604564601,2.529753225,5.835587716,0.336204866,0.623222299,169.5378513,11.79677567
62.26,8.4895,344,2,5,0,Mac,2000,100,7.689886187,17.67976899,3.669313868,2.194233767,0.872239814,2.906261122,0.296077887,0.455740645,158.4953501,12.61866672
62.26,8.4895,344,10,0,1,Mac,2000,100,9.414931828,17.63336369,2.710546861,1.504612339,3.823849304,6.086615491,0.407164544,0.664623217,194.2145147,10.2978915
62.26,8.4895,344,11,5,2,Mac,2000,100,8.433790715,18.47855854,3.358779609,1.618459809,2.584047208,7.588074887,0.33947721,0.617871383,173.921494,11.49944124
62.26,8.4895,344,9,5,4,Mac,2000,100,8.691598153,18.68541784,3.230082623,1.330293305,3.938906749,8.586375213,0.371770717,0.75171416,180.5766356,11.07562999
62.26,8.4895,344,13,1,1,Mac,2000,100,8.682742428,19.65706166,3.191596615,1.858152354,1.397969461,4.169645298,0.339705983,0.538169236,178.3198621,11.21580051
62.26,8.4895,344,0,0,0,Mac,2000,100,8.856066649,16.67826962,2.943916957,1.634738786,3.49566054,5.062474132,0.373225479,0.611718569,183.0039616,10.92872516
62.26,8.4895,344,14,6,2,Mac,2000,100,8.754606065,20.134942,3.211424549,1.645070466,2.748754008,6.460420728,0.351038267,0.607876716,179.9943545,11.11145961
62.26,8.4895,344,12,3,1,Mac,2000,100,8.289630145,17.91913449,3.381599257,1.839847829,1.868842748,4.93238138,0.326975791,0.543523239,170.5068879,11.72973142
