cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
92.1,3.7,28,8,5,0,OpenSSH,2000,100,3.561597209,7.929010892,6.815810271,3.275953275,0.708933551,1.597331727,0.165183886,0.305254659,73.16467237,27.33559702
92.1,3.7,28,4,2,3,OpenSSH,2000,100,3.625250684,7.992739844,6.515577467,3.335169756,0.888316153,2.455475068,0.170080451,0.29983487,74.16065574,26.96847783
92.1,3.7,28,11,1,3,OpenSSH,2000,100,4.051249148,8.515248096,5.939318163,3.010215888,0.984728189,4.163225889,0.191253601,0.332202339,84.44537497,23.68394955
92.1,3.7,28,9,5,0,OpenSSH,2000,100,3.656281764,8.292814624,6.586647489,3.158910493,0.671522289,1.883432674,0.16907746,0.316564842,74.85520554,26.71824873
92.1,3.7,28,13,5,4,OpenSSH,2000,100,3.919604089,9.291556776,6.197937241,2.475182734,1.199837572,4.491334045,0.187842833,0.404010695,80.58489561,24.81854676
92.1,3.7,28,6,6,2,OpenSSH,2000,100,3.50991392,7.502924645,6.748519795,3.45489972,0.787774861,1.964356399,0.164244154,0.289444002,71.97722006,27.78656912
92.1,3.7,28,11,0,3,OpenSSH,2000,100,5.233355405,9.24616009,4.253700285,2.348678171,2.251504805,4.394562161,0.257885498,0.425771415,106.6482096,18.75324497
92.1,3.7,28,3,0,4,OpenSSH,2000,100,5.058363282,8.789809358,4.342183849,2.469663766,2.096004777,3.621273279,0.248811287,0.404913575,103.1637938,19.38664648
92.1,3.7,28,0,1,0,OpenSSH,2000,100,3.9529058,8.149276805,5.830213056,3.703165318,0.480798882,1.553474045,0.180306948,0.270039346,80.83238578,24.74255808
92.1,3.7,28,2,1,3,OpenSSH,2000,100,3.912484712,8.010432887,5.893016024,3.469061587,0.694021544,2.756643128,0.180764228,0.288262401,80.14164066,24.95581552
92.1,3.7,28,14,1,2,OpenSSH,2000,100,4.14117202,8.219344568,5.760601666,2.743233343,0.868154236,4.573615241,0.193328453,0.364534907,84.64296246,23.62866258
92.1,3.7,28,1,3,3,OpenSSH,2000,100,3.636684149,7.479633141,6.405857556,3.641276415,0.693486249,2.242168462,0.1688562,0.274628974,74.5186832,26.83890689
92.1,3.7,28,3,3,4,OpenSSH,2000,100,3.80876744,8.179264903,6.163934203,2.977348831,0.988422447,3.174460769,0.181143886,0.335869303,78.39415765,25.51210524
92.1,3.7,28,4,6,2,OpenSSH,2000,100,3.551135787,7.364967608,6.573146688,3.627087839,0.691002635,1.996293628,0.16536317,0.2757034,73.34796691,27.26728612
92.1,3.7,28,6,4,0,OpenSSH,2000,100,3.525796088,7.388366759,6.776569902,3.415080168,0.620793696,1.482662499,0.163414184,0.29281892,72.54571128,27.56882474
92.1,3.7,28,4,4,1,OpenSSH,2000,100,3.539877317,7.366128373,6.607722567,3.601755347,0.631727027,1.601308227,0.164174278,0.2776424,72.49079895,27.58970833
92.1,3.7,28,5,0,1,OpenSSH,2000,100,5.059672129,8.786128759,4.312262441,2.491661054,2.051362925,3.12644273,0.247957966,0.401338731,103.1193733,19.39499762
92.1,3.7,28,9,2,4,OpenSSH,2000,100,3.906172573,7.918439782,6.223138444,2.3094848,1.27407014,3.894634271,0.189905762,0.432997005,80.72827005,24.7744687
92.1,3.7,28,10,2,1,OpenSSH,2000,100,3.694491814,8.673205984,6.559837831,3.10861483,0.75306163,1.752883828,0.171628761,0.321703991,77.69970798,25.74012248
92.1,3.7,28,13,2,4,OpenSSH,2000,100,3.876739883,9.244155669,6.279934143,2.915602523,1.377351175,4.551069963,0.185990399,0.342983552,80.01553893,24.99514503
92.1,3.7,28,13,4,0,OpenSSH,2000,100,3.601407224,7.656001937,6.587120235,3.524151683,0.583779481,1.438935471,0.166135109,0.283756232,73.80634761,27.09794028
92.1,3.7,28,3,3,3,OpenSSH,2000,100,3.636463842,7.367003787,6.408556734,3.309645943,0.837242303,2.047422576,0.170902056,0.302147136,74.38320208,26.88779112
92.1,3.7,28,12,5,1,OpenSSH,2000,100,3.697910241,9.050545704,6.585462713,2.990370644,0.858414757,2.201975513,0.172949337,0.334425187,75.96175337,26.32903944
92.1,3.7,28,8,5,0,OpenSSH,2000,100,3.622745801,7.878628433,6.579860973,3.222806659,0.815918684,1.996240497,0.16958259,0.310288631,74.61353827,26.80478699
92.1,3.7,28,11,6,2,OpenSSH,2000,100,3.661188067,8.569480276,6.612971308,2.814352907,0.96700031,2.501624,0.173910755,0.355321482,75.40022945,26.52511822
92.1,3.7,28,0,2,1,OpenSSH,2000,100,3.549883505,7.319668531,6.540015039,3.406501131,0.624095198,1.649642336,0.165884842,0.293559884,74.79974747,26.73805819
92.1,3.7,28,10,6,4,OpenSSH,2000,100,3.865464147,8.105076039,6.243143669,2.647032851,1.10367918,4.039636683,0.18513465,0.377781496,79.50408149,25.15594121
92.1,3.7,28,6,5,0,OpenSSH,2000,100,3.569784595,7.401290762,6.728016906,3.451952638,0.707185677,1.829286909,0.165674572,0.289691115,73.0065732,27.39479354
92.1,3.7,28,12,2,2,OpenSSH,2000,100,3.753883294,8.965893543,6.436570899,2.927886819,0.823854028,1.77670362,0.174718213,0.341543408,76.9713881,25.98368107
92.1,3.7,28,7,0,2,OpenSSH,2000,100,5.11376285,8.930857205,4.289802855,2.477973615,2.103017101,3.067037892,0.251265608,0.403556038,106.0195558,18.86444425
92.1,3.7,28,10,0,0,OpenSSH,2000,100,5.183371354,9.125648165,4.278002261,2.372579347,2.175887183,3.198260272,0.255090288,0.421482268,105.5726867,18.94429386
92.1,3.7,28,0,3,4,OpenSSH,2000,100,3.679811963,7.287873924,6.197695085,3.582892959,0.788991121,2.109204507,0.173335356,0.279104203,75.56543231,26.46712841
