cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
87.65,4.5272,44,9,6,3,OpenStack,2000,100,4.480279221,8.121145368,4.842280161,2.205731835,1.457119371,4.935361791,0.237285981,0.453364311,93.44584918,21.40276981
87.65,4.5272,44,12,4,2,OpenStack,2000,100,4.450113794,10.21057268,4.800752894,1.941825842,1.344048799,4.620244288,0.234607242,0.514980349,93.63140011,21.36035558
87.65,4.5272,44,5,3,1,OpenStack,2000,100,4.239662423,9.032609618,4.992251647,2.115602907,1.053700012,2.583759356,0.22178676,0.472678831,88.92107677,22.49185539
87.65,4.5272,44,2,2,2,OpenStack,2000,100,4.15453222,8.275568545,4.996335702,2.364176438,1.02329029,3.090790498,0.218853659,0.422980275,87.3496747,22.89647909
87.65,4.5272,44,14,2,0,OpenStack,2000,100,4.484541761,11.27121629,4.839454786,2.024573117,1.077206993,2.350076258,0.23543236,0.493931728,93.58662748,21.37057456
87.65,4.5272,44,3,3,2,OpenStack,2000,100,4.225059706,8.727298343,5.015316874,2.141757422,1.179474277,3.347006559,0.222775989,0.466906328,88.67597151,22.55402412
87.65,4.5272,44,11,4,2,OpenStack,2000,100,4.38961394,10.41339821,4.90325097,1.783909245,1.412809852,5.283301795,0.230758297,0.560567759,92.58829832,21.60100181
87.65,4.5272,44,0,5,3,OpenStack,2000,100,4.462310747,9.093950486,4.645849897,2.161450264,1.072521257,3.426161194,0.23539451,0.46265233,93.21758723,21.45517879
87.65,4.5272,44,7,2,2,OpenStack,2000,100,4.220420015,8.523179698,4.927652483,2.295956561,1.243628953,3.768898439,0.222913919,0.435548345,88.74384522,22.53677418
87.65,4.5272,44,2,1,1,OpenStack,2000,100,4.389519326,8.409413803,4.699194463,2.289767159,0.799308636,1.954528415,0.230149817,0.436725636,91.65309119,21.82141348
87.65,4.5272,44,14,6,4,OpenStack,2000,100,4.633218496,9.800480211,4.697120055,1.909192683,1.860367095,6.967528713,0.247309483,0.523804207,97.41411114,20.53090642
87.65,4.5272,44,7,0,1,OpenStack,2000,100,5.431375782,9.619464958,3.72706671,1.972927762,2.305443072,4.13044461,0.290328532,0.506860946,112.6687093,17.75115747
87.65,4.5272,44,13,0,4,OpenStack,2000,100,5.573060522,9.762869072,3.674739209,1.856729077,2.497223452,6.027876973,0.298269435,0.538581539,115.5995965,17.30109845
87.65,4.5272,44,2,5,1,OpenStack,2000,100,4.195726267,8.503637791,4.985407269,2.294182368,0.980423427,3.181508064,0.220993731,0.435885143,87.68897676,22.80788388
87.65,4.5272,44,1,6,0,OpenStack,2000,100,4.264644053,8.437248361,4.884444219,2.338540158,0.776268522,2.106993365,0.223585113,0.427617208,89.17797518,22.42706224
87.65,4.5272,44,7,2,4,OpenStack,2000,100,4.537145033,9.439695203,4.744186397,1.854460677,1.650354046,5.461664605,0.241677001,0.539240924,94.43506289,21.17857434
87.65,4.5272,44,11,5,4,OpenStack,2000,100,4.574624227,9.161639571,4.841748667,1.744821238,1.918767332,7.413329363,0.245701438,0.573125711,94.02312279,21.27136326
87.65,4.5272,44,9,0,2,OpenStack,2000,100,5.383621244,9.899556875,3.769791799,1.93379231,2.340477495,4.241912413,0.287958466,0.517118641,111.7773337,17.89271521
87.65,4.5272,44,2,5,3,OpenStack,2000,100,4.233287927,8.725550127,4.908189136,2.392782592,1.122119629,3.346174657,0.222879323,0.417923477,89.60662484,22.31977829
87.65,4.5272,44,13,6,0,OpenStack,2000,100,4.476726504,11.11243582,4.840146061,1.694831114,1.049568414,3.607210112,0.235191234,0.590029303,93.54262781,21.38062664
87.65,4.5272,44,8,2,4,OpenStack,2000,100,4.510504596,9.640097022,4.85897364,1.79188297,1.728002101,6.113260508,0.240381015,0.558072165,94.99862909,21.05293539
87.65,4.5272,44,11,3,0,OpenStack,2000,100,4.3570182,10.47868347,4.938885648,1.893365692,1.004296784,2.448616207,0.228341391,0.528160347,91.02344418,21.97236128
87.65,4.5272,44,1,2,4,OpenStack,2000,100,4.370876887,9.001109636,4.83523457,2.078861164,1.180045609,3.859619021,0.230818251,0.481032794,91.59184098,21.83600612
87.65,4.5272,44,14,4,0,OpenStack,2000,100,4.44731993,11.27630978,4.860356913,1.86913171,1.071079863,2.726716137,0.233170049,0.53500863,92.91964221,21.5239744
87.65,4.5272,44,9,6,3,OpenStack,2000,100,4.559519332,9.203586316,4.756059713,1.874985342,1.608735457,6.078164566,0.241763171,0.53333751,95.58424616,20.92395013
87.65,4.5272,44,6,5,1,OpenStack,2000,100,4.289668961,9.477519453,4.923320722,1.983722038,1.078262583,2.784142959,0.225798868,0.504102905,89.53512478,22.3376022
87.65,4.5272,44,3,1,4,OpenStack,2000,100,4.542687968,9.543854558,4.70772075,2.129966168,1.328831852,3.691182292,0.238269246,0.469491027,95.32213449,20.98148568
87.65,4.5272,44,3,1,3,OpenStack,2000,100,4.501414636,8.997854054,4.654605444,2.219268821,1.08509212,3.547269058,0.237251202,0.450598869,93.99328995,21.27811465
87.65,4.5272,44,5,0,0,OpenStack,2000,100,5.309384422,9.143453312,3.785596586,2.078161794,2.231085905,3.957096946,0.283623779,0.481194495,110.2851768,18.13480341
87.65,4.5272,44,0,3,2,OpenStack,2000,100,4.391878199,8.180579174,4.76019408,2.232699226,0.913572319,2.424030936,0.229704937,0.447888958,91.9997201,21.73919657
87.65,4.5272,44,5,6,4,OpenStack,2000,100,4.495650024,8.224210548,4.735910511,1.980798736,1.554631976,4.64337275,0.238762108,0.504851872,95.0585258,21.03966986
87.65,4.5272,44,10,4,2,OpenStack,2000,100,4.408172401,10.844673,4.921587223,1.807373464,1.410504407,5.723745418,0.233766583,0.553289083,92.07078242,21.72241777
