cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
92.08,3.339,8,6,3,0,Proxifier,2000,100,3.075334606,6.376677477,5.874229435,2.937761233,0.745122435,1.870031559,0.191562601,0.340395264,62.66206932,31.91723513
92.08,3.339,8,11,2,2,Proxifier,2000,100,3.248268583,6.504274774,5.55891209,2.694307351,1.208501668,3.131595433,0.205098202,0.371152938,66.51969433,30.06628368
92.08,3.339,8,8,2,4,Proxifier,2000,100,3.253433447,6.319811118,5.445265019,2.361455258,1.206694364,4.213369167,0.206149959,0.423467817,66.76658916,29.95510217
92.08,3.339,8,13,1,2,Proxifier,2000,100,3.465162424,8.207877219,5.317381749,2.338885125,1.087447988,3.310965228,0.217756703,0.427554201,70.47248435,28.37987079
92.08,3.339,8,10,5,0,Proxifier,2000,100,3.214418225,7.487115836,5.701112459,2.548658327,0.859202325,2.090876639,0.201134897,0.392368929,65.5007174,30.53401672
92.08,3.339,8,7,6,4,Proxifier,2000,100,3.275205935,6.225893855,5.407388512,2.536064153,1.162097544,3.677522469,0.207181376,0.394311794,66.9124701,29.88979479
92.08,3.339,8,3,1,4,Proxifier,2000,100,3.318126902,6.206301808,5.291562025,2.824224538,1.021853911,2.559021497,0.208228937,0.354079546,67.54397583,29.61033868
92.08,3.339,8,6,6,1,Proxifier,2000,100,3.183140637,6.280171204,5.599223834,2.782324383,0.945805481,2.693870473,0.19976158,0.359411732,64.79255986,30.86774167
92.08,3.339,8,8,4,2,Proxifier,2000,100,3.249017936,7.07777698,5.556560024,2.553276421,1.099793479,3.670403266,0.205185536,0.391653669,65.97103858,30.31633339
92.08,3.339,8,1,6,3,Proxifier,2000,100,3.175917696,5.582490695,5.498147692,3.104131748,0.918347451,2.432385957,0.199668376,0.322151318,64.75434661,30.88595754
92.08,3.339,8,4,0,3,Proxifier,2000,100,4.045362301,6.719357908,4.145527502,2.421873334,1.746904923,3.160246694,0.25812114,0.41290351,82.42160988,24.2654809
92.08,3.339,8,5,2,1,Proxifier,2000,100,3.075514843,5.937465584,5.726591469,3.103244865,0.857312922,2.058798504,0.19218714,0.322243376,62.65001798,31.92337472
92.08,3.339,8,11,3,1,Proxifier,2000,100,3.218966529,6.550202584,5.649230729,2.616288897,1.058211832,2.950676835,0.202520327,0.382220787,65.640095,30.46918199
92.08,3.339,8,0,5,2,Proxifier,2000,100,3.269721907,5.483755052,5.266520742,2.94654264,0.82193631,2.234033132,0.205148866,0.339380809,66.49602151,30.07698738
92.08,3.339,8,0,5,4,Proxifier,2000,100,3.315967322,5.598808932,5.218671321,3.101927431,0.921188697,1.972869086,0.207635454,0.322380366,67.37892509,29.68287187
92.08,3.339,8,2,3,0,Proxifier,2000,100,3.041483901,5.462786698,5.773544642,3.138675161,0.660955487,1.720732105,0.188679552,0.318605772,61.94782066,32.28523584
92.08,3.339,8,7,0,4,Proxifier,2000,100,4.057652857,6.822123671,4.193320331,2.328530471,1.793507178,3.266863334,0.259416765,0.429455408,82.73734426,24.17288128
