cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
93.23,2.606,37,4,2,0,Spark,2000,100,2.546887853,6.479288578,6.169802934,3.220797885,0.615762185,1.289825678,0.179903231,0.31067357,53.40467095,37.44990774
93.23,2.606,37,7,3,3,Spark,2000,100,2.779247654,6.010960865,5.74800521,2.730936638,0.979970366,3.636829567,0.198236933,0.366174795,58.03172517,34.46390736
93.23,2.606,37,11,2,4,Spark,2000,100,3.046545024,7.92884903,5.449179584,2.167849378,1.35793089,5.796006072,0.221653106,0.461286691,62.06578183,32.22387507
93.23,2.606,37,1,1,1,Spark,2000,100,2.7255814,4.852862525,5.533179637,3.160533804,0.607836846,1.680200315,0.192896907,0.316402248,56.85892177,35.17477887
93.23,2.606,37,6,1,1,Spark,2000,100,2.787991567,6.87257427,5.608443041,3.201795227,0.705358287,1.293153965,0.196828504,0.312326212,58.29558277,34.30791674
93.23,2.606,37,3,4,1,Spark,2000,100,2.59885656,5.746472096,5.92089339,3.069356286,0.761324528,1.672910047,0.185713583,0.325801389,54.79106212,36.50230389
93.23,2.606,37,8,0,4,Spark,2000,100,3.646140157,7.189256835,4.214034791,2.350248144,1.745752771,5.820274484,0.267426477,0.425487958,74.11406159,26.98543241
93.23,2.606,37,0,2,0,Spark,2000,100,2.622425101,4.89230988,5.812318248,3.218323276,0.596748721,1.684977138,0.186697101,0.310720824,53.67874074,37.25869818
93.23,2.606,37,4,2,3,Spark,2000,100,2.741781681,4.702615726,5.713672689,2.666029313,0.935481686,3.24422332,0.196111291,0.375091127,55.83231115,35.82155133
93.23,2.606,37,8,6,0,Spark,2000,100,2.599478126,5.733059442,6.093213426,3.383233373,0.712749926,1.280261493,0.18448111,0.295986261,52.9315567,37.7846435
93.23,2.606,37,3,0,4,Spark,2000,100,3.470200718,5.166370356,4.290392274,2.436705049,1.570037859,3.682772577,0.254102809,0.410390373,70.60714483,28.32574529
93.23,2.606,37,5,4,1,Spark,2000,100,2.609618173,5.690939832,5.97270893,3.007034979,0.807375957,1.940761364,0.186577385,0.332574723,53.11047602,37.65735407
93.23,2.606,37,9,0,1,Spark,2000,100,3.503689227,6.018260193,4.256427156,2.419848191,1.569867469,2.510656822,0.256797375,0.413249073,71.27016973,28.06223147
93.23,2.606,37,7,3,3,Spark,2000,100,2.910038152,6.801053846,5.656348316,2.378108123,1.077437118,4.688894188,0.206795642,0.420512834,60.37730217,33.1250309
93.23,2.606,37,6,6,2,Spark,2000,100,2.679590982,4.612694979,5.934563273,2.465619188,0.954637851,3.539562619,0.192016751,0.405577636,56.20985603,35.58094863
93.23,2.606,37,13,5,2,Spark,2000,100,2.819386219,5.862535155,5.815747755,2.5229207,1.091717968,4.768129718,0.201469717,0.396376555,59.10284543,33.83931832
93.23,2.606,37,10,5,3,Spark,2000,100,2.841837904,7.494748449,5.704925168,2.475665277,1.16238407,3.691554844,0.205662908,0.404034447,59.06145954,33.8630304
93.23,2.606,37,1,1,3,Spark,2000,100,2.760843504,4.663785434,5.422997295,3.287941916,0.683565315,1.402071476,0.196554233,0.304141632,56.06279755,35.67428112
93.23,2.606,37,10,4,4,Spark,2000,100,2.968270998,7.238803792,5.560023823,2.355625818,1.197705874,5.367903066,0.213461264,0.424515643,61.73710823,32.39542728
