cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
91.8,3.7545,150,6,6,3,Thunderbird,2000,100,3.34915567,8.890433526,5.561864595,1.38402454,1.418634782,5.383860624,0.253683513,0.722530601,70.94859409,28.18942398
91.8,3.7545,150,9,2,4,Thunderbird,2000,100,3.642603632,10.53125201,5.507240237,1.055064281,1.93006121,7.455959308,0.282361858,0.947809566,77.89728665,25.67483523
91.8,3.7545,150,2,4,1,Thunderbird,2000,100,3.05768375,6.954416811,5.707450895,2.006225153,0.938707951,3.408585584,0.22684624,0.498449069,66.28347445,30.17343337
91.8,3.7545,150,9,0,3,Thunderbird,2000,100,4.214618707,9.81213125,3.938178595,1.264806787,1.997311848,6.605498552,0.318027976,0.790634594,88.93932414,22.48724082
91.8,3.7545,150,12,4,1,Thunderbird,2000,100,3.61602837,9.762994301,5.585552171,1.262124844,1.380098044,5.734800053,0.273931474,0.792314653,77.71412253,25.73534816
91.8,3.7545,150,5,5,4,Thunderbird,2000,100,3.319972916,8.981600106,5.588501461,1.253974089,1.464628991,5.787946415,0.254304036,0.79746474,70.12787986,28.51932789
91.8,3.7545,150,3,0,0,Thunderbird,2000,100,4.052886387,9.0608459,3.933625449,1.453352768,1.744370181,4.807144701,0.304476082,0.688064405,85.67104626,23.34511002
91.8,3.7545,150,1,5,1,Thunderbird,2000,100,3.05512771,7.247204471,5.748211833,1.830216627,0.868493583,2.877571535,0.225305478,0.546383702,65.38040161,30.59020671
91.8,3.7545,150,7,5,2,Thunderbird,2000,100,3.484484563,9.608524597,5.661804219,1.192485726,1.457638932,6.042976391,0.265379552,0.838584461,74.35385704,26.89840285
91.8,3.7545,150,7,2,0,Thunderbird,2000,100,3.154778671,8.787286878,5.975851603,1.681497713,0.906774569,3.752638412,0.231858943,0.594708262,67.45331335,29.65013727
91.8,3.7545,150,3,2,4,Thunderbird,2000,100,3.344981864,8.64589299,5.373128203,1.317480655,1.392060767,5.565186071,0.257158821,0.759024702,72.48589015,27.59157673
91.8,3.7545,150,10,3,1,Thunderbird,2000,100,3.313500363,8.925534356,5.668617248,1.558685865,1.28705262,4.45638063,0.248514478,0.641566133,70.45235395,28.38797979
91.8,3.7545,150,2,5,2,Thunderbird,2000,100,3.166967908,8.237102759,5.595882937,1.653173122,0.968613977,3.667885554,0.235934485,0.604897404,67.76202893,29.51505484
91.8,3.7545,150,12,2,4,Thunderbird,2000,100,3.74615986,11.77406657,5.364259646,1.048372204,1.983199186,7.912477267,0.29637983,0.953859716,80.55118918,24.82893202
91.8,3.7545,150,0,3,2,Thunderbird,2000,100,3.162237058,7.457589912,5.330542197,1.875268328,0.907910338,3.189301264,0.233504279,0.533257401,67.51365638,29.62363627
91.8,3.7545,150,1,0,0,Thunderbird,2000,100,3.875655066,8.253774285,4.006844107,1.642703655,1.626162802,3.591993773,0.292277256,0.608752541,82.10734224,24.35835755
91.8,3.7545,150,0,4,3,Thunderbird,2000,100,3.254225126,8.192080235,5.302576236,1.785168813,0.923062726,3.159785092,0.241373507,0.560171113,69.7867372,28.65874062
