cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
94.36,3.636,51,2,5,0,Windows,2000,100,3.360517877,5.85822624,6.679670687,3.703662927,0.647870164,2.342558551,0.163947465,0.270002981,71.26154208,28.06562897
94.36,3.636,51,6,2,2,Windows,2000,100,3.478351069,6.957073522,6.582860143,3.135449074,0.97469119,3.051225877,0.170274439,0.318933616,72.21146798,27.69643183
94.36,3.636,51,8,3,4,Windows,2000,100,3.643480752,6.995824504,6.45075037,2.690467785,1.183663163,5.571324432,0.178207126,0.371685421,74.77390122,26.74730043
94.36,3.636,51,6,1,1,Windows,2000,100,3.673143109,6.871910167,6.164378956,2.905107761,0.717636068,2.452650142,0.176890327,0.344221323,76.66384459,26.08791681
94.36,3.636,51,4,6,0,Windows,2000,100,3.367290975,6.164507639,6.758533857,3.28971365,0.715481152,2.629436517,0.163562424,0.303977825,71.17385197,28.10020738
94.36,3.636,51,4,0,4,Windows,2000,100,4.495553241,7.554482746,4.928879651,2.822678879,1.937663741,4.053083146,0.219897961,0.354273493,91.2657547,21.91402467
94.36,3.636,51,11,4,2,Windows,2000,100,3.516695068,6.962423432,6.748613376,2.790005451,1.079032281,4.344861007,0.169894421,0.358422244,73.20554066,27.32033644
94.36,3.636,51,3,1,3,Windows,2000,100,3.651566714,6.68531841,6.124394478,3.236623344,0.830234,3.045339215,0.176046917,0.308963987,76.05228329,26.29769829
94.36,3.636,51,14,2,3,Windows,2000,100,3.907786433,10.01498133,6.40323681,2.065557254,1.640729507,5.577021861,0.191950686,0.48413229,81.37540078,24.57745192
94.36,3.636,51,1,5,2,Windows,2000,100,3.408057236,5.707799411,6.602650682,3.702662324,0.703549608,2.42833004,0.165017932,0.270075942,71.85342002,27.83444406
94.36,3.636,51,1,5,0,Windows,2000,100,3.309116877,5.591152418,6.769637758,3.976529263,0.601943485,2.355493987,0.160749821,0.251475701,67.38525915,29.68008174
94.36,3.636,51,9,4,1,Windows,2000,100,3.52957111,7.214690268,6.646981223,2.987128671,0.920061282,3.132876313,0.170261929,0.334769665,73.25887418,27.30044684
94.36,3.636,51,10,5,4,Windows,2000,100,3.743279093,8.129584754,6.32892286,2.353431625,1.331390193,5.721475816,0.183764091,0.424911509,77.93462276,25.6625352
94.36,3.636,51,9,1,3,Windows,2000,100,3.758208737,7.92184875,6.163562855,2.512643638,1.000407557,4.822020257,0.181462748,0.397987213,77.63817239,25.76052396
94.36,3.636,51,5,0,3,Windows,2000,100,4.456851439,7.386344707,4.96223973,2.834583042,1.910756394,4.528418922,0.218016994,0.352785581,93.12318134,21.47692949
94.36,3.636,51,12,1,3,Windows,2000,100,3.900886497,9.33318789,5.983126771,2.279950124,1.143682846,5.592313015,0.189506916,0.438606105,80.84777069,24.7378497
94.36,3.636,51,7,6,0,Windows,2000,100,3.367616304,7.122370434,6.78193167,3.375179178,0.745266336,2.943150282,0.16341754,0.296280609,69.02052808,28.97688638
94.36,3.636,51,8,4,3,Windows,2000,100,3.665118147,7.379467881,6.421416105,2.599288732,1.253459877,5.768288493,0.181390243,0.38472064,75.43012094,26.51460683
94.36,3.636,51,13,2,3,Windows,2000,100,3.803427926,9.804557133,6.49872032,2.007861463,1.562217037,4.973603237,0.186556811,0.498042341,79.82393575,25.05514143
94.36,3.636,51,4,0,1,Windows,2000,100,4.530443351,7.24563961,4.794543596,2.822957018,1.871861488,4.042306888,0.2224593,0.35423848,93.74132824,21.33530682
94.36,3.636,51,8,0,2,Windows,2000,100,4.587671309,7.707815063,4.827804448,2.594524082,1.955236656,4.551103127,0.224174252,0.385427442,94.41372633,21.18336049
94.36,3.636,51,14,0,1,Windows,2000,100,4.72950325,9.559726465,4.792108897,2.371412195,2.078166129,5.165993953,0.230789681,0.421689749,98.11782312,20.38365647
94.36,3.636,51,11,2,4,Windows,2000,100,3.627380521,7.583966076,6.438367623,2.523684167,1.348654733,5.979666042,0.18132491,0.396246228,74.41413593,26.8766139
