cache,avg,template,x,y,z,dataset,req,con,avglatency,p95latency,avgtps,p95tps,avgttft,p95ttft,avgtpot,p95tpot,compeletetime,tp
93.77,2.5346,51,2,3,3,Zookeeper,2000,100,2.331315755,5.028029168,5.270902796,2.171105348,0.931492515,3.259641361,0.221572195,0.46059489,49.51574349,40.39119397
93.77,2.5346,51,9,5,2,Zookeeper,2000,100,2.546996003,7.162042165,5.056699584,1.802839801,1.337903889,3.7411322,0.244151162,0.554680519,54.1522975,36.93287436
93.77,2.5346,51,9,3,1,Zookeeper,2000,100,2.497780772,7.072200215,5.162338542,1.971388034,1.16958964,3.154376304,0.239418533,0.507256817,52.52358222,38.07813396
93.77,2.5346,51,8,2,4,Zookeeper,2000,100,2.7863653,6.674403346,4.861209334,1.642715023,1.629376804,5.714367712,0.266715339,0.608750224,58.23739529,34.34219525
93.77,2.5346,51,14,4,2,Zookeeper,2000,100,2.543664521,8.78921839,5.292556751,1.837113393,1.272452998,3.239386725,0.242948379,0.544762127,53.356704,37.4835747
93.77,2.5346,51,4,4,0,Zookeeper,2000,100,2.194888557,4.913768697,5.681674881,2.44064638,0.731779625,1.986835492,0.206620558,0.409727695,46.27019858,43.22436603
93.77,2.5346,51,1,4,3,Zookeeper,2000,100,2.343039771,4.318694425,5.037967414,2.541493993,0.986667682,2.421349657,0.224208372,0.393469397,49.69780469,40.24322629
93.77,2.5346,51,1,1,2,Zookeeper,2000,100,2.35056706,4.219261563,4.996582312,2.455286504,0.763530868,2.286512697,0.222144962,0.407284574,49.30189943,40.56638837
93.77,2.5346,51,8,2,4,Zookeeper,2000,100,2.65275207,6.684014356,5.01407292,1.725241235,1.431400416,5.885554528,0.252223356,0.57962909,56.71089315,35.26659322
93.77,2.5346,51,10,0,3,Zookeeper,2000,100,2.720371234,4.957938063,4.249584847,2.224344723,1.245883082,2.995386815,0.258689597,0.44957063,57.15968752,34.98969443
93.77,2.5346,51,1,1,1,Zookeeper,2000,100,2.298644264,4.079577672,5.147975196,2.842878111,0.729280583,1.890043914,0.216940104,0.35175622,48.36978221,41.34812911
93.77,2.5346,51,14,6,3,Zookeeper,2000,100,2.724316315,9.049677253,4.91410348,1.579501122,1.461836142,5.067093396,0.261286433,0.63311135,56.8876698,35.15700339
93.77,2.5346,51,0,6,4,Zookeeper,2000,100,2.381551002,4.80057255,5.042711885,2.334389166,0.915629926,3.307519865,0.22351122,0.428378083,49.90672898,40.07475627
93.77,2.5346,51,7,3,1,Zookeeper,2000,100,2.419534206,6.150858009,5.266299099,2.162097764,1.040634968,3.077041531,0.230098011,0.462514077,50.90879416,39.28594328
93.77,2.5346,51,0,6,0,Zookeeper,2000,100,2.344025866,3.721249127,4.977367605,2.611684777,0.759653802,2.216615295,0.222639135,0.382894631,49.24300504,40.61490558
93.77,2.5346,51,3,1,0,Zookeeper,2000,100,2.279404474,4.568058252,5.264138312,2.560404658,0.682868703,2.014631379,0.214630123,0.390563265,48.14650989,41.53987495
93.77,2.5346,51,2,5,3,Zookeeper,2000,100,2.317649015,4.974116242,5.249625928,2.283066395,0.948332577,2.868812704,0.220428099,0.438007428,48.94740868,40.86018145
93.77,2.5346,51,3,6,2,Zookeeper,2000,100,2.373115414,4.740777373,5.163448868,2.089333164,1.077498786,3.525522959,0.22574846,0.478621654,49.99218369,40.00625403
93.77,2.5346,51,8,4,0,Zookeeper,2000,100,2.225370119,4.546256554,5.543879407,2.382542282,0.804933565,1.939865971,0.210595424,0.419719732,47.22688484,42.34875975
93.77,2.5346,51,13,0,2,Zookeeper,2000,100,2.787826233,6.398033202,4.259516231,1.943164774,1.306001217,3.077908778,0.265624133,0.514624648,58.37338209,34.26219157
93.77,2.5346,51,10,2,2,Zookeeper,2000,100,2.398758515,5.207395434,5.33262105,2.075495089,1.206917528,3.680419469,0.228819811,0.481812792,50.8105185,39.36192857
93.77,2.5346,51,0,6,2,Zookeeper,2000,100,2.310440778,4.24477191,5.087964694,2.55708431,0.777962533,2.262386477,0.215919743,0.391070422,48.69354081,41.07320944
93.77,2.5346,51,2,2,1,Zookeeper,2000,100,2.198788552,4.752224433,5.604283057,2.372983294,0.72956807,3.128592432,0.20560008,0.421410474,46.21212053,43.27868916
93.77,2.5346,51,5,0,0,Zookeeper,2000,100,2.754927884,5.317234576,4.254928973,2.106286549,1.261342294,3.108027196,0.261549917,0.474769211,57.75235772,34.63062079
93.77,2.5346,51,1,4,4,Zookeeper,2000,100,2.342904491,4.568751562,5.121301869,2.443283267,0.963008031,2.916577733,0.222475905,0.409285332,49.29667687,40.57068603
93.77,2.5346,51,13,1,1,Zookeeper,2000,100,2.437359533,6.139768469,5.213751111,2.069425861,0.913883433,2.675020134,0.229176857,0.483225848,50.99648833,39.2183867
93.77,2.5346,51,3,4,0,Zookeeper,2000,100,2.234615385,4.509822154,5.470135352,2.503340188,0.750743661,1.935886264,0.211067997,0.399466297,47.05200768,42.50615646
93.77,2.5346,51,3,1,1,Zookeeper,2000,100,2.328605406,4.695683241,5.166586803,2.477593093,0.781059716,2.277632117,0.220489564,0.40361771,48.8231504,40.96417343
93.77,2.5346,51,12,5,4,Zookeeper,2000,100,2.671180771,5.805149817,4.799074307,1.78304833,1.55654314,4.792108083,0.253774552,0.5608373,55.96665812,35.73556234
93.77,2.5346,51,4,2,4,Zookeeper,2000,100,2.438876123,5.437209451,5.126630857,1.958690573,1.154102614,3.854074442,0.231619748,0.510545251,51.7486093,38.64838161
93.77,2.5346,51,14,6,2,Zookeeper,2000,100,2.677844095,8.082965457,5.047112758,1.652175107,1.431070131,4.111914504,0.256614853,0.605326125,56.19797373,35.58847174
93.77,2.5346,51,13,2,2,Zookeeper,2000,100,2.388903088,5.883243918,5.371833462,1.768207275,1.126680917,4.501219881,0.224767194,0.56554465,50.37805915,39.69982238
93.77,2.5346,51,12,3,1,Zookeeper,2000,100,2.510774639,8.270238531,5.389757192,1.725663267,1.250439405,3.758918536,0.239863779,0.579487332,52.38709641,38.17734017
93.77,2.5346,51,5,1,4,Zookeeper,2000,100,2.534869252,6.369262147,5.083167981,1.768464266,1.190989518,5.200534642,0.239654894,0.565462527,53.59248805,37.31866298
93.77,2.5346,51,7,2,0,Zookeeper,2000,100,2.336613471,6.114523077,5.465895836,2.228313434,0.968122053,2.464944482,0.222397951,0.448769902,49.20979238,40.64231738
93.77,2.5346,51,11,3,4,Zookeeper,2000,100,2.672635227,8.108185697,5.077477796,1.44895579,1.544600197,7.172766411,0.254428203,0.690152182,56.52043366,35.38543267
93.77,2.5346,51,9,5,1,Zookeeper,2000,100,2.226380498,3.926106298,5.42928204,2.347445335,0.905036983,2.569786704,0.210809558,0.425998462,47.36546135,42.22486054
93.77,2.5346,51,8,5,4,Zookeeper,2000,100,2.581827222,6.597048306,4.987291607,1.687633858,1.328578346,4.193105161,0.247209446,0.592545641,54.08416414,36.97940112
93.77,2.5346,51,11,2,3,Zookeeper,2000,100,2.60496016,8.037995493,5.016812051,1.809150785,1.343114385,3.712802517,0.249441114,0.552746251,54.91388726,36.42065969
93.77,2.5346,51,7,3,3,Zookeeper,2000,100,2.375567448,5.871231949,5.299612096,1.972362682,1.096476365,4.007802665,0.225753372,0.507006151,49.89055347,40.0877493
93.77,2.5346,51,11,0,4,Zookeeper,2000,100,2.901780589,6.407935131,4.197943896,1.782373313,1.521019313,5.735913897,0.276385375,0.5610507,60.69528413,32.95148921
93.77,2.5346,51,5,5,2,Zookeeper,2000,100,2.348655983,5.475065947,5.317432036,2.136702415,1.036068078,4.581163657,0.222189618,0.468010925,49.81494284,40.1485957
93.77,2.5346,51,6,6,3,Zookeeper,2000,100,2.361547539,5.88732568,5.340333931,1.962048521,1.054192461,4.193491805,0.223259962,0.50967141,49.85039639,40.12004206
93.77,2.5346,51,13,0,0,Zookeeper,2000,100,2.689714032,4.909506297,4.30348902,2.299191772,1.213472738,2.880914879,0.255224465,0.434935622,56.53816438,35.37433558
93.77,2.5346,51,6,0,0,Zookeeper,2000,100,2.753098748,5.676735115,4.274981622,2.017810658,1.274439537,3.128701699,0.261989538,0.495586638,57.69208336,34.66680147
93.77,2.5346,51,12,1,3,Zookeeper,2000,100,2.717407232,8.267475259,4.910024407,1.466051279,1.351087569,6.56582607,0.259483627,0.682104558,56.71922994,35.26140962
93.77,2.5346,51,4,0,3,Zookeeper,2000,100,2.710081614,5.063451529,4.297599637,2.306216965,1.241598683,2.838960683,0.257375542,0.43361055,56.8109262,35.20449558
93.77,2.5346,51,1,5,0,Zookeeper,2000,100,2.267344306,4.324062383,5.31758929,2.593880189,0.773855836,2.199798167,0.213981449,0.385522818,47.70235825,41.92664836
93.77,2.5346,51,2,3,3,Zookeeper,2000,100,2.359443472,4.945912457,5.136987967,2.199985826,1.001761082,2.878966153,0.22621212,0.454548419,49.95303822,40.03760475
93.77,2.5346,51,3,2,4,Zookeeper,2000,100,2.434372834,5.535005701,5.21574999,1.97153689,1.155804731,4.622952855,0.230996414,0.507218514,51.62076735,38.74409666
93.77,2.5346,51,10,6,1,Zookeeper,2000,100,2.423820753,7.493095219,5.386010028,1.878703606,1.051277821,2.730766201,0.231312681,0.532282008,51.1734333,39.0827793
93.77,2.5346,51,14,6,2,Zookeeper,2000,100,2.490211487,7.83269943,5.309689823,1.641581141,1.289473454,3.226896656,0.23888458,0.609175501,52.59312701,38.02778259
93.77,2.5346,51,9,4,3,Zookeeper,2000,100,2.543317714,7.24757669,5.061483407,1.691512937,1.294861498,4.247660446,0.242534551,0.591187902,53.3186729,37.51031095
